id,created_at,text
1183791855156322304,2019-10-14 17:09:06,b'RT @ScreenMix: \xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd8\xb3\xd9\x85 \xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xa8\xd8\xb9 \xd9\x85\xd9\x86 LaCasaDePapel \xd8\xb3\xd9\x88\xd9\x81 \xd9\x8a\xd9\x83\xd9\x88\xd9\x86 \xd9\x81\xd9\x8a \xd8\xb4\xd9\x87\xd8\xb1 \xd9\x8a\xd9\x86\xd8\xa7\xd9\x8a\xd8\xb1 2020. https://t.co/A20RVnnXo9'
1181601945661906945,2019-10-08 16:07:11,b'finally !!!!!!!!!!!!! https://t.co/3vaRecGyAq'
1179783192288600064,2019-10-03 15:40:07,b'RT @izaatreh: directed by \xd8\xa8\xd8\xb3\xd9\x91\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd9\x85\xd9\x84\xd8\xa7 https://t.co/bMBINmA2ez'
1179677157871771648,2019-10-03 08:38:46,"b""RT @tiktok_uk: Remember the 7 B's ladies https://t.co/vxeIr41riO"""
1179361424121970688,2019-10-02 11:44:09,b'RT @Halaa96: \xd8\xa8\xd8\xb5\xd9\x8a\xd8\xb1 \xd8\xb9\xd8\xb1\xd8\xb1 \xd8\xb9\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xba\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x84\xd9\x8a \xd9\x83\xd9\x84\xd8\xa7\xd8\xa8\xd9\x87\xd9\x85 \xd8\xad\xd9\x82\xd9\x87\xd9\x85 \xd8\xb1\xd8\xa7\xd8\xaa\xd8\xa8\xd9\x8a\xd9\x86 \xd9\x85\xd9\x86 \xd8\xb1\xd8\xa7\xd8\xaa\xd8\xa8 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb9\xd9\x84\xd9\x85 \xd9\x88\xd9\x88\xd9\x84\xd8\xa7\xd8\xaf\xd9\x87\xd9\x85 \xd8\xa8\xd8\xb9\xd9\x85\xd8\xb1\xd9\x87\xd9\x85 \xd9\x85\xd8\xa7 \xd8\xaf\xd8\xae\xd9\x84\xd9\x88\xd8\xa7 \xd9\x85\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xb3 \xd8\xad\xd9\x83\xd9\x88\xd9\x85\xd9\x8a\xd8\xa9 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb9\xd8\xaa\xd8\xb5\xd8\xa7\xd9\x85 \xd8\xa3\xd8\xb5\xd9\x84\xd8\xa7\xd9\x8b \xd9\x84\xd8\xa7 \xd9\x8a\xd9\x85\xd8\xb3\xd9\x87\xd9\x85 \xd9\x85\xd9\x86\xe2\x80\xa6'
1177131177888690177,2019-09-26 08:01:57,b'RT @meezo_86: \xd9\x81\xd8\xa7\xd8\xb5\xd9\x84 \xd9\x81\xd9\x83\xd8\xa7\xd9\x87\xd9\x8a \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\xd8\xb1\xd8\xb3\xd8\xa7\xd9\x84\xd8\xa9 \xd9\x85\xd9\x86 \xd8\xb7\xd8\xa7\xd9\x84\xd8\xa8 \xd9\x85\xd8\xaf\xd8\xb1\xd8\xb3\xd8\xa9 \xd8\xa5\xd9\x84\xd9\x89 \xd8\xb1\xd8\xa6\xd9\x8a\xd8\xb3 \xd8\xa7\xd9\x84\xd9\x88\xd8\xb2\xd8\xb1\xd8\xa7\xd8\xa1 https://t.co/XmYBRBULHC'
1177009387761819648,2019-09-25 23:58:00,b'RT @GhadaSheikh: \xd9\x83\xd9\x85 \xd8\xaa\xd8\xac\xd8\xa7\xd9\x88\xd8\xb2 \xd9\x82\xd8\xa7\xd9\x86\xd9\x88\xd9\x86\xd9\x8a \xd9\x88\xd9\x85\xd9\x87\xd9\x86\xd9\x8a \xd9\x88\xd8\xa3\xd8\xae\xd9\x84\xd8\xa7\xd9\x82\xd9\x8a \xd9\x85\xd8\xa7\xd8\xb1\xd8\xb3\xd9\x87 \xd8\xa7\xd9\x84\xd8\xa5\xd8\xb9\xd9\x84\xd8\xa7\xd9\x85\xd9\x8a \xd8\xa7\xd9\x84\xd9\x81\xd8\xb0 @Amradib \xd9\x81\xd9\x8a \xd8\xad\xd9\x84\xd9\x82\xd8\xaa\xd9\x87 \xd9\x88\xd8\xa7\xd9\x84\xd8\xaa\xd9\x8a \xd8\xa7\xd8\xb3\xd8\xaa\xd9\x87\xd8\xaf\xd9\x81\xd8\xaa \xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd8\xa7\xd8\xb7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb1\xd8\xaf\xd9\x86\xd9\x8a #\xd8\xb9\xd8\xa8\xd8\xaf\xd8\xa7\xd9\x84\xd8\xb1\xd8\xad\xd9\x85\xd9\x86_\xd8\xa7\xd9\x84\xd8\xb1\xd9\x88\xd8\xa7\xd8\xac\xd8\xa8\xd8\xa9 \xd8\xa8\xd8\xaf\xd8\xa1\xe2\x80\xa6'
1176997111554088961,2019-09-25 23:09:13,b'RT @Albanderiiiii: \xd8\xb7\xd9\x88\xd9\x84 \xd8\xb9\xd9\x85\xd8\xb1\xd9\x8a \xd8\xa7\xd9\x83\xd8\xaa\xd8\xa8 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x87\xd8\xa7 \xd8\xa8\xd8\xa7\xd9\x84\xd9\x86\xd9\x87\xd8\xa7\xd9\x8a\xd9\x87 \xd8\xb7\xd9\x84\xd8\xb9\xd8\xaa \xd9\x87\xd8\xa7\xd9\x8a\xd9\x84\xd8\xa7\xd9\x8a\xd8\xaa\xd8\xb1 \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x98\x82 https://t.co/HUvacSfv2m'
1176968200401117185,2019-09-25 21:14:20,"b'RT @Mickeeeey1: @CarmenChammas thats true, no?\n#\xd8\xa8\xd8\xb1\xd8\xac_\xd8\xa7\xd9\x84\xd8\xad\xd9\x88\xd8\xaa\n#\xd8\xa8\xd8\xb1\xd8\xac_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb1\xd8\xb7\xd8\xa7\xd9\x86\n#\xd8\xa8\xd8\xb1\xd8\xac_\xd8\xa7\xd9\x84\xd8\xb9\xd9\x82\xd8\xb1\xd8\xa8 https://t.co/AEBAiLOANS'"
1176953602801192961,2019-09-25 20:16:20,b'periodtt. https://t.co/s1vOjU0BOI'
