id,created_at,text
1241794495038894080,2020-03-22 18:30:53,b'@aginnt @auren @boo Would love to see your reply. Bergstom\xe2\x80\x99s response was mostly ad hominem'
1241541146687356929,2020-03-22 01:44:10,b'@NurseChargaryen @themarkashley @elonmusk @PPathole @NateSilver538 I believe he\xe2\x80\x99s re-working his factories to make\xe2\x80\xa6 https://t.co/EUnI3oP5R2'
1241379493287059457,2020-03-21 15:01:49,b'RT @brithume: This is definitely worth reading. Smart analysis.  https://t.co/5JIYCFYIqE'
1239412411720798210,2020-03-16 04:45:20,b'RT @mwgjerde: @jaketapper https://t.co/PPO0FjYFcf'
1238925951095820288,2020-03-14 20:32:19,"b'RT @timkellernyc: Heedless of danger, they took charge of the sick-ministering to them in Christ-&amp; with them departed this life serenely ha\xe2\x80\xa6'"
1238925832891936768,2020-03-14 20:31:51,b'RT @RodGordilloP: 1/6 Our children will remember this #coronsvirus lockdown very differently that the adults will. When I was 8 living in L\xe2\x80\xa6'
1238843781543104512,2020-03-14 15:05:48,"b'RT @PriscillaShirer: \xe2\x80\x9cWash hands, for sure. Then, wash feet\xe2\x80\x9d. - @scottsauls \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd SO good! Thank you sir. https://t.co/crROzUrKxv'"
1238841195947675651,2020-03-14 14:55:32,"b'RT @jaketapper: Italy suffered 250 deaths due to coronavirus in just ONE DAY. More than 2,500 new cases were diagnosed in that 24 hours.\xe2\x80\xa6'"
1237239884290523136,2020-03-10 04:52:29,b'RT @jasonvanschoor: From a well respected friend and intensivist/A&amp;E consultant who is currently in northern Italy:\n1/ \xe2\x80\x98I feel the pressure\xe2\x80\xa6'
1237239835020029953,2020-03-10 04:52:18,"b'RT @silviast9: 1/ I may be repeating myself, but I want to fight this sense of security that I see outside of the epicenters, as if nothing\xe2\x80\xa6'"
1236671987063214082,2020-03-08 15:15:52,b'@RaoulGMI It will also inflict max pain on Russia...'
1236671734813618177,2020-03-08 15:14:52,"b'RT @elonmusk: @FxzzOnTheBeat Fatality rate also greatly overstated. Because there are so few test kits, those who die with respiratory symp\xe2\x80\xa6'"
1236671720959832064,2020-03-08 15:14:49,b'RT @elonmusk: @FxzzOnTheBeat Virality of C19 is overstated due to conflating diagnosis date with contraction date &amp; over-extrapolating expo\xe2\x80\xa6'
1236664728052776961,2020-03-08 14:47:01,b'RT @govttrader: I hope this flight attendant noticed how promptly I returned my seat back and tray table to their full upright position.\n\n*\xe2\x80\xa6'
1236382972284026880,2020-03-07 20:07:26,b'RT @LizSpecht: I think most people aren\xe2\x80\x99t aware of the risk of systemic healthcare failure due to #COVID19 because they simply haven\xe2\x80\x99t run\xe2\x80\xa6'
1236379320634855424,2020-03-07 19:52:55,"b""RT @timkellernyc: We wouldn't do what we do if we really knew what Jesus did for us."""
1236379273679663104,2020-03-07 19:52:44,b'RT @govttrader: I\xe2\x80\x99m at Chelsea Piers in NYC.  \n\nIt\xe2\x80\x99s usually packed on Saturday but I\xe2\x80\x99m literally the ONLY person here.'
1236379208051347456,2020-03-07 19:52:28,b'RT @govttrader: A little math for you.\n\n2000 Covid-19 infection cases today.\nInfection rate doubles every 6 days\nUS will have 30 million ca\xe2\x80\xa6'
1215456637189623808,2020-01-10 02:13:39,b'RT @RichLowry: Is the new standard really that a president of the United States can\xe2\x80\x99t defend against attacks on U.S. personnel by a terror\xe2\x80\xa6'
1124845949195407361,2019-05-05 01:19:07,"b'RT @CNYcentral: WHAT COLOR DO YOU SEE? \xf0\x9f\x91\x80 Apparently, If the right-half of your brain is dominant, you will see a combination of pink and wh\xe2\x80\xa6'"
1112575234182279168,2019-04-01 04:39:41,b'No way a guilty person would turn down that plea deal. Syed must be innocent.  #AdnanSyed'
1066021503970365440,2018-11-23 17:31:46,b'@D9Dan Yea makes no sense why he would be involved in the coverup of a crime he didn\xe2\x80\x99t commit'
1042612935338553346,2018-09-20 03:14:29,b'@BenHowe It\xe2\x80\x99s pretty terrible acting. Good storyline but poorly executed.'
1033526696132014080,2018-08-26 01:29:01,b'RIP John McCain. You were a true American hero and an American original. You served our country with honor.'
1025774753401851904,2018-08-04 16:05:33,b'@spencer_chang Same'
985629532328681472,2018-04-15 21:22:47,b'My boycott of Starbucks begins today... https://t.co/78EbTDlhkX'
975078244071256064,2018-03-17 18:35:44,b'@southbaypony Can we set up in the outfield?'
909980910849687552,2017-09-19 03:22:10,"b""@TexasGenetics @RandPaul You are so right. Isn't it obvious that his refusal to deal simply leaves Obamacare in pla\xe2\x80\xa6 https://t.co/noT9eoDhj8"""
908756384170180610,2017-09-15 18:16:20,b'@RandPaul Thanks to you instead of Obamacare lite we get to keep Obamacare. Yay!'
899019443380015104,2017-08-19 21:25:12,"b'@JohnJHarwood Trump will never, ever, ever resign. It goes against his entire ethos'"
893270267576762368,2017-08-04 00:40:02,"b""RT @DouthatNYT: I'm skeptical of the Shroud because as evidence of the resurrection it seems almost too dispositive to be real.\nhttps://t.c\xe2\x80\xa6"""
890929150407565313,2017-07-28 13:37:16,b'@RandPaul Thank you for all your hard work for ensuring that Obamacare remains. There will never be another chance to reform Medicaid.'
878677318729736192,2017-06-24 18:12:52,b'RT @FrankLuntz: This could be why the Sanders only released 1 year of tax returns.\n\nhttps://t.co/x4a3Nbil13'
878676947831635968,2017-06-24 18:11:24,b'RT @marklevinshow: BREAKING NEWS: OBAMA ADMINISTRATION COVER-UP OF UNMASKING https://t.co/QZtF2rMyuU'
878599303907860481,2017-06-24 13:02:52,"b'RT @JeffreyKleintop: Deflationary impact of technology: everything in this Radio Shack flyer from 1991 adds up to $3,285.12 and can be done\xe2\x80\xa6'"
878598689907851264,2017-06-24 13:00:25,b'https://t.co/jqVB9C1zGO'
873685622992494592,2017-06-10 23:37:39,b'https://t.co/gc5oukQsk4'
846029534998646784,2017-03-26 16:02:14,"b""@JimDeMint @POTUS it's too late. We missed our chance. Thanks for nothing."""
845738296042897409,2017-03-25 20:44:57,"b""@marklevinshow so now we are stuck with Obamacare. Thanks Freedom Caucus!some friendly advice:don't let the perfect be the enemy of the good"""
845699723600179200,2017-03-25 18:11:41,b'@keithurbahn @PhilipRucker have to start the indoctrination of youth young'
805160177452187648,2016-12-03 21:22:00,b'https://t.co/uLxunqs3p9'
796231643472089088,2016-11-09 06:03:11,b'@AnnCoulter effectively in 2001 until Benedict Jeffords turned'
795033668733386753,2016-11-05 22:42:52,b'https://t.co/SoscZLDO3Y'
787152651272146951,2016-10-15 04:46:31,b'RT @NRO: Threatening Hillary Clinton with prison is an affront to American democratic decency https://t.co/EjKBir58oI via @krauthammer http\xe2\x80\xa6'
787149252082282496,2016-10-15 04:33:00,"b""RT @JimDeMint: 100 years ago, population control advocate Margaret Sanger founded Planned Parenthood. She'd be proud of their work. https:/\xe2\x80\xa6"""
786774897355726849,2016-10-14 03:45:27,b'@EWErickson @ExtraNewsfeed amen'
762069099983888384,2016-08-06 23:33:26,"b""@mikecasino oh Michael you're so silly"""
699397095703248897,2016-02-16 00:57:16,"b'RT @KarlRove: Next time a Dem goes nuclear on GOP on Obama SCOTUS nominee, remind them of this. https://t.co/Izq5dsJJgO'"
