id,created_at,text
1239688248240168961,2020-03-16 23:01:25,"b""We're introducing increased productivity and capability to multiple industries, from #aerospace, to #defence, to\xe2\x80\xa6 https://t.co/hBW4WxQH2l"""
1237897853785083904,2020-03-12 00:27:02,"b'We are using #advanced #technology to truly change the way the world creates - from tooling, to aerospace, to defen\xe2\x80\xa6 https://t.co/Z1Bjj5K10i'"
1235804138010595331,2020-03-06 05:47:21,b'Proud to welcome Michelle Winzer to Titomic this week to share her thoughts and experience in becoming one of\xe2\x80\xa6 https://t.co/nkZvjhVLe4'
1235693737218461697,2020-03-05 22:28:39,"b""In .@StockheadAU last week, I talked about how Australia's #FutureFund could be supporting Aussie #SMEs.\n\nIn tandem\xe2\x80\xa6 https://t.co/KYemCDBdpl"""
1232795495791153153,2020-02-26 22:32:05,b'Great to be in the .@FinancialReview twice in one week! This $25m sales agreement and $20m capital raise are monume\xe2\x80\xa6 https://t.co/9VxTXNQVmx'
1232097984545837057,2020-02-25 00:20:25,"b'If fully realised as outlined, the Business Growth Fund could translate into new, value-added industry growth and g\xe2\x80\xa6 https://t.co/upi3Rvv5lM'"
1230626489642520576,2020-02-20 22:53:13,b'Proud to be involved so closely with @arcseam! Thanks to @Swinburne for their continual support. https://t.co/G4emd5QqZE'
1229564628239183872,2020-02-18 00:33:46,b'Thanks to @Swinburne and @arcseam for their continual support and for hosting this key conference surrounding\xe2\x80\xa6 https://t.co/Jw9T53SEVL'
1229207435463872512,2020-02-17 00:54:24,"b'Our planet is challenged by an overabundance of plastic, but #technology is turning this waste issue into a\xe2\x80\xa6 https://t.co/ErnEYpd9f6'"
1227753855422586880,2020-02-13 00:38:24,"b""Congratulations to @GilmourSpace and @usqedu! A well-deserved grant received by one of #Australia's leading #space\xe2\x80\xa6 https://t.co/YhWlVsQkDt"""
1227714196282003456,2020-02-12 22:00:48,"b'Proud to be involved with world-leading research institutions such as .@Swinburne, and to be involved directly with\xe2\x80\xa6 https://t.co/bUDSM18NsW'"
1227369506772865024,2020-02-11 23:11:08,"b""Great things happening at .@Swinburne's Factory of the #Future!\n\nCongratulations to @nicoadams for the continued gr\xe2\x80\xa6 https://t.co/1sc8tlPb2e"""
1227085146081263621,2020-02-11 04:21:11,b'Glad to have support from Evans &amp; Partners! Read the report below. \n\n#ASX #MetalAM https://t.co/a9Pb6SoN76'
1224812525536985088,2020-02-04 21:50:36,b'Grateful to be a finalist for innovator of the year and excited for a successful year for @Titomic!\n\n#Space\xe2\x80\xa6 https://t.co/yqhEVdP37M'
1223089586680651776,2020-01-31 03:44:16,"b""@rossco77701202 Thanks for the support Rossco. It's going to be a good year for Titomic."""
1223017268843405312,2020-01-30 22:56:54,b'Congrats to @SouthernLaunch for pushing ahead to create their new rocket test range in #Adelaide!\n\nAnother forward\xe2\x80\xa6 https://t.co/KWtFTSLszl'
1223011688502317056,2020-01-30 22:34:43,b'The year 2020 will be massive for Titomic and the #additive #manufacturing industry. \n\nA year of industrial scale g\xe2\x80\xa6 https://t.co/inOU2XFuGG'
1220232918213197824,2020-01-23 06:32:53,"b'What a break through moment!\n\nToday, Titomic heard from Nic Tsioulos; a renowned Taekwondo athlete and one of the s\xe2\x80\xa6 https://t.co/bW7Vbbi59p'"
1220141510236049408,2020-01-23 00:29:39,"b""@NASA says the Earth is hotter than ever due to #greenhouse #emissions. It's up to us all, especially industry, to\xe2\x80\xa6 https://t.co/02zMu8Sp3C"""
1218044474909216768,2020-01-17 05:36:47,"b""Vaaru's cycle didn't meet reserve at Dubai Bike, but to support the bushfire relief, we've donated $3,000 to the\xe2\x80\xa6 https://t.co/9oB45cmr0U"""
1217205664579248129,2020-01-14 22:03:39,"b""It was a pleasure to welcome these emerging #engineering students from #KFUPM to our TKF Bureau.\n\nWe're always happ\xe2\x80\xa6 https://t.co/6rKR5NBGfL"""
