id,created_at,text
1000555948149235712,2018-05-27 01:55:02,b'Great show @jaymohr37 thank you for coming to Portland'
905781342662688768,2017-09-07 13:14:35,b'RT @ItsShake4ndbake: BRUHHHH \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82https://t.co/VxNvPZQZqT'
858838652230803456,2017-05-01 00:21:05,b'@adamcarolla #quiet'
845474702332178432,2017-03-25 03:17:31,b'Great show today @joerogan ! Thank you for the amazing discussion with  @notaxation ! Looking forward to hearing more from both'
740009355286831106,2016-06-07 02:35:53,b'@kkrwhduffy @bassfaillace Metallica sounded great out there on the ice. #SanJoseSharks need all the support'
736319528406114304,2016-05-27 22:13:50,b'Lost tooth at the baseball game! #SeaDogs #losttooth https://t.co/GKAxPdxYKU'
735966640635006980,2016-05-26 22:51:35,b'Starting the Maine Beer Trail #mainebeertrail @bassfaillace https://t.co/yvxgV5N8Cl'
665022909505761281,2015-11-13 04:26:31,b'RT @mtelles: VIDEO: Gone are the days of #TheManShow! Chatting nails &amp; docus w/ @adamcarolla en route to @LASairport: https://t.co/S9t2I1Mf\xe2\x80\xa6'
656896835404042240,2015-10-21 18:16:24,b'RT @joerogan: Hahahaha! Matt Stone and Trey Parker are national treasures.  https://t.co/iZHYDCdc6w'
615238915541307392,2015-06-28 19:22:42,"b'Next level ""nectar of the tards""! @adamcarolla http://t.co/Vc9jUpLufe'"
609146686875824131,2015-06-11 23:54:22,b'Great show @JonnyLangBand  beautiful weather and amazing music #mainestatepier'
601895288874344448,2015-05-22 23:39:54,"b""@hastetheday Can't wait for the show! Drove 6 hours from Maine! #roadtrip #cdreleaseshow"""
548962627859517440,2014-12-27 22:04:24,b'Enjoying some local brews #brewbus #FirstTweet http://t.co/1GtJHFcDBe'
