id,created_at,text
1242217087013019648,2020-03-23 22:30:07,b'RT @CMichaelGibson: I am confused about the \xe2\x80\x9cTrial\xe2\x80\x9d of #Chloroquine and #Azithromycin in New York City starting tomorrow:\n\nWill there be a\xe2\x80\xa6'
1242216985309544448,2020-03-23 22:29:43,b'RT @SebGorka: You\xe2\x80\x99re a bloody fraud @jaketapper. \n\nYou never were a journalist. \n\nAnd now everyone in America knows you\xe2\x80\x99re a lying hack:\n\nh\xe2\x80\xa6'
1242215986704437248,2020-03-23 22:25:45,"b""RT @continetti: A slow Pearl Harbor follows self-deception over time. We've had them before. With coronavirus, we have two at once. My piec\xe2\x80\xa6"""
1242215623830065152,2020-03-23 22:24:18,"b'RT @jakemerci: STEVE BANNON: ""It\'s not Chinese Virus. It\'s CCP virus. This was the Chinese Communist Party. They\'re the enemy of the Chines\xe2\x80\xa6'"
1242215435166081024,2020-03-23 22:23:33,"b'RT @1GigiSims: Respectfully this is incredibly stupid. You don\xe2\x80\x99t have a clue what this virus can do. If the worst happens, for example, you\xe2\x80\xa6'"
1242215319562665984,2020-03-23 22:23:06,"b""RT @realKyleOlbert: It's the #CCPVirus. https://t.co/gmxugOFxok"""
1242215170673233921,2020-03-23 22:22:30,"b'RT @Tom_Winter: NBC News: 129 members of the NYPD have tested positive for COVID-19, a senior law enforcement official says. \n\nAs we report\xe2\x80\xa6'"
1242214942415020033,2020-03-23 22:21:36,"b'RT @NRA: Before:\n- ""A 10-day waiting period is REASONABLE.""\n- ""Only CRIMINALS stockpile ammunition.""\n- ""Nobody NEEDS more than one gun.""\n\nN\xe2\x80\xa6'"
1242214518056308737,2020-03-23 22:19:54,"b'RT @MsMelChen: The resilience &amp; ingenuity of ordinary people never fail to amaze me. Where our govt &amp; institutions have failed, average cit\xe2\x80\xa6'"
1242214187759054848,2020-03-23 22:18:36,b'RT @thehill: Court sides with scientists on EPA policy barring grantees from serving on agency boards https://t.co/qctdc3MTyH https://t.co/\xe2\x80\xa6'
1242214147451805696,2020-03-23 22:18:26,"b'RT @BenedictNeuro: #COVID19 has also impacted on the great work done by #charities like @encephalitis- Please, please support Becky raising\xe2\x80\xa6'"
1242213766810370048,2020-03-23 22:16:55,"b'RT @Peoples_Pundit: 1. First, there are no ""bailouts"" or a ""slush fund"" in this bill.\n\nThat are economically illiterate talking points and\xe2\x80\xa6'"
