id,created_at,text
1241863544011882497,2020-03-22 23:05:16,b'RT @TitaniaMcGrath: I\xe2\x80\x99m so distressed by all these bigoted young people claiming that jokes aren\xe2\x80\x99t to be taken literally.\n\nIt\xe2\x80\x99s almost as t\xe2\x80\xa6'
1241862284575678466,2020-03-22 23:00:15,"b'RT @timfprice: Rishi Sunak, who has been in post for just five weeks, is a better Chancellor than Major, Clarke, Brown and Osborne combined\xe2\x80\xa6'"
1241862012973580292,2020-03-22 22:59:11,b'RT @Lord_Sugar: Is this a wind up https://t.co/sG4vnfnxAN'
1241861347173941255,2020-03-22 22:56:32,"b""RT @SpeechUnion: Oxford University has upheld the Free Speech Union's official complaint about the feminist society that no-platformed Ambe\xe2\x80\xa6"""
1237371260067250177,2020-03-10 13:34:32,b'RT @SpeechUnion: The Free Speech Union has just written to the Oxford University Proctors\xe2\x80\x99 Office to complain about the behaviour of the UN\xe2\x80\xa6'
1229388603530326019,2020-02-17 12:54:18,"b'RT @TitaniaMcGrath: If the Labour Party is serious about winning back its industrial working-class heartlands, it needs to campaign for gre\xe2\x80\xa6'"
1229388488560300032,2020-02-17 12:53:51,"b'RT @Tim_R_Dawson: Doctor Who - mad, wonderful, stupid Doctor Who - was the BBC at its best.\nHow we loved him, in his frock coat &amp; his crava\xe2\x80\xa6'"
1229388314588983298,2020-02-17 12:53:09,"b'RT @timfprice: You\xe2\x80\x99re not just wrong, you\xe2\x80\x99re being wrong at the top of your voice. \n\nIf the BBC is as good as you say it is, let it compete\xe2\x80\xa6'"
1229103235920691200,2020-02-16 18:00:21,"b'RT @DanielJHannan: If Britain were to go into these talks demanding the right to set EU regulations, access to EU fishing grounds and a rol\xe2\x80\xa6'"
1227582722597474304,2020-02-12 13:18:23,b'RT @manek43509: @twlldun https://t.co/2hJpPtsZBI'
1225759157049024516,2020-02-07 12:32:11,b'RT @MartinKnight_: #BBC wilfully spinning the news in coverage of licence fee review. People do not object to paying the fee in the \xe2\x80\x9cNetfli\xe2\x80\xa6'
1225758957324640256,2020-02-07 12:31:23,b'RT @Michael_Heaver: \xe2\x80\x9cGrandmother who was jailed for not paying her TV licence has called for the tax to be scrapped.\n\n\xe2\x80\x9cAnne Smith said she\xe2\x80\xa6'
1225414894343815168,2020-02-06 13:44:12,b'RT @addicted2newz: Hats off to the @Conservatives media team. Brilliant! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\nhttps://t.co/tlxEFYmoMa'
1225023077513383936,2020-02-05 11:47:16,b'RT @TitaniaMcGrath: \xe2\x9d\x8cmankind\n\xe2\x9c\x94\xef\xb8\x8fpeoplekind\n\n\xe2\x9d\x8cchristian\n\xe2\x9c\x94\xef\xb8\x8feaster worshipper\n\n\xe2\x9d\x8cislamic terrorist\n\xe2\x9c\x94\xef\xb8\x8faustere religious scholar\n\n\xe2\x9d\x8cstraight white\xe2\x80\xa6'
1224110046939926529,2020-02-02 23:19:12,"b'RT @addicted2newz: Sky News Australia is always such a contrast to UK News.\n\n""I think the UK is gonna just explode with prosperity after th\xe2\x80\xa6'"
1224108373324566533,2020-02-02 23:12:33,b'RT @DanielJHannan: One day in and so far:\n\xe2\x9d\x8cNo food riots\n\xe2\x9d\x8cNo medicine shortages\n\xe2\x9d\x8cNo gridlocked motorways\n\xe2\x9d\x8cNo migrant camps in Kent\n\xe2\x9d\x8cNo coll\xe2\x80\xa6'
