id,created_at,text
1242046479428136962,2020-03-23 11:12:11,b'@dannyisgonzalez @jacksfilms lol i have the same phone except in blue'
1242045773635780608,2020-03-23 11:09:23,b'@CandyCandy1103 @MoiraPrime @jacksfilms *proceeds to drop his iPhone on the tile bathroom floor as hard as he can*\xe2\x80\xa6 https://t.co/O0HB9vB0aK'
1242043145166217216,2020-03-23 10:58:56,b'@KonekoKittenYT this is my cat trying to do parkour lol https://t.co/q4w665h1hQ'
1241880853623513091,2020-03-23 00:14:03,b'@KonekoKittenYT Lol\xe2\x80\x99s land of lol'
1241847623348301827,2020-03-22 22:02:00,b'@KonekoKittenYT people never get satisfied man...'
1240203301179842561,2020-03-18 09:08:03,"b'#kalimeraellada \xce\xbb\xce\xb1\xce\xb9\xce\xba\xce\xb7 \xce\xb1\xce\xb3\xce\xbf\xcf\x81\xce\xac, \xcf\x84\xcf\x89\xcf\x81\xce\xb1, \xce\x9b\xce\xb1\xce\xbc\xcf\x80\xcf\x81\xce\xb9\xce\xbd\xce\xae, \xcf\x87\xce\xb1\xce\xbc\xce\xbf\xcf\x82, \xce\xbf \xce\xad\xce\xbd\xce\xb1\xcf\x82 \xcf\x80\xce\xb1\xce\xbd\xcf\x89 \xcf\x83\xcf\x84\xce\xbf\xce\xbd \xce\xb1\xce\xbb\xce\xbb\xce\xbf, \xce\xba\xce\xb1\xce\xbd\xcf\x84\xce\xb5 \xce\xba\xce\xb1\xcf\x84\xce\xb9 \xce\xba\xce\xb1\xce\xb9 (\xce\xbf\xcf\x80\xcf\x89\xcf\x82 \xcf\x86\xce\xb1\xce\xb9\xce\xbd\xce\xb5\xcf\x84\xce\xb1\xce\xb9 \xce\xba\xce\xb1\xce\xb9 \xcf\x83\xcf\x84\xce\xb7\xce\xbd \xce\xb4\xe2\x80\xa6 https://t.co/pFGPELW59H'"
1239978651522936834,2020-03-17 18:15:22,b'just got sent this by the greek goverment.... when it is sent it plays a siren sound and it freacked me off... what\xe2\x80\xa6 https://t.co/hPRzGX880B'
1239975628310564865,2020-03-17 18:03:22,b'\xe2\x81\xa6@elonmusk\xe2\x81\xa9  https://t.co/eSlYGp5MKz'
1239892530751311877,2020-03-17 12:33:10,b'@KonekoKittenYT Here is my account:\n\nhttps://t.co/1Y8058nWDq'
1239886954021388288,2020-03-17 12:11:00,b'@KonekoKittenYT neopets'
1227651175916457990,2020-02-12 17:50:23,b'Browse Twitter on your #AppleWatch for free with #Chirp for Twitter https://t.co/T4pmHq5nQp?'
1225358224922226689,2020-02-06 09:59:01,b'#StopJaystation'
1225358048224514048,2020-02-06 09:58:19,b'yeah #BanJaystation'
1217894458102091776,2020-01-16 19:40:40,b'\xe2\x81\xa6@JackMasseyWelsh\xe2\x81\xa9 unsubbed. https://t.co/XicPnP6xTE'
1214610608592691201,2020-01-07 18:11:50,b':3 it is so cuttteeee https://t.co/oukJwVSBlH'
1214197013157482497,2020-01-06 14:48:21,b'Yes. https://t.co/ercgVk0d0K'
1173591046086975488,2019-09-16 13:34:44,"b""@FortniteHughYT GUYS DONT DO IT HE'S A SCAMMER!!!"""
1165573659362242568,2019-08-25 10:36:30,b'I made a totally normal house for a villager in minecraft.\nhttps://t.co/JVIKXNkvmt'
1164224325626597376,2019-08-21 17:14:44,"b""@oh_tassos why did you put '':/'' D;"""
1164097160104873985,2019-08-21 08:49:25,b'@oh_tassos oh hello'
1163807447045173249,2019-08-20 13:38:12,b'Hello! A new version for our java edition resource pack is available! Its name is WitchVillager Textures pre-1.2 v.\xe2\x80\xa6 https://t.co/1XiTjcIDVw'
