id,created_at,text
1235569727302438912,2020-03-05 14:15:53,"b'@izmirhim Te\xc5\x9fekk\xc3\xbcrler, iyi \xc3\xa7al\xc4\xb1\xc5\x9fmalar...'"
1235517777554952197,2020-03-05 10:49:27,"b'Buras\xc4\xb1 yakla\xc5\x9f\xc4\xb1k 4 ayd\xc4\xb1r bu durumda, ba\xc5\x9flad\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1z bir i\xc5\x9fi bitirmek gibi bir adetiniz yok san\xc4\xb1r\xc4\xb1m!!! Konum ; 2120/2 s\xe2\x80\xa6 https://t.co/oqx7Vajt3e'"
1233593723159793665,2020-02-29 03:23:57,"b'\'\'T\xc3\xbcrk olmak zordur, \xc3\xa7\xc3\xbcnk\xc3\xbc d\xc3\xbcnya ile sava\xc5\x9f\xc4\xb1rs\xc4\xb1n. T\xc3\xbcrk olmamak daha zordur, \xc3\xa7\xc3\xbcnk\xc3\xbc T\xc3\xbcrk ile sava\xc5\x9f\xc4\xb1rs\xc4\xb1n.""\n\n""It is hard\xe2\x80\xa6 https://t.co/xDna6V9Foe'"
1223110641365348354,2020-01-31 05:07:55,b'@1SnDurGitme Ondan sonra hastal\xc4\xb1ktan geberiyorlar'
1203451398345691136,2019-12-07 23:09:07,"b'RT @Yildiztilbeder: ""Do\xc4\x9fu ekspresine binip, rastgele defolup gitmek istiyorum..""'"
1202697030071734272,2019-12-05 21:11:31,b'RT @ugurdundarsozcu: Sn.B\xc3\xbclent Turan;\nBunlar\xc4\xb1 Ermeni \xc3\xa7alg\xc4\xb1c\xc4\xb1ya ekonomik s\xc4\xb1k\xc4\xb1nt\xc4\xb1lar i\xc3\xa7indeki \xc3\xbclkenin ka\xc3\xa7 liras\xc4\xb1n\xc4\xb1 verip s\xc3\xb6ylettin?.\nY\xc4\xb1\xc4\x9f\xc4\xb1nla\xe2\x80\xa6'
1202380596405833728,2019-12-05 00:14:07,b'RT @1alexdegill: Tiyatroya gelin Adem B\xc3\xbcy\xc3\xbck rakibinin aya\xc4\x9f\xc4\xb1na alakas\xc4\xb1z bir \xc5\x9fekilde bas\xc4\xb1yor. Pozisyon sonunda itiraz etti\xc4\x9fi i\xc3\xa7in Tuzla kalec\xe2\x80\xa6'
1202311793500213248,2019-12-04 19:40:44,b'Galatasaray\xc4\xb1 #TUZLA d\xc4\xb1lar.\xf0\x9f\x98\x82 #Galatasaray #Tuzlaspor #galataray\xc4\xb1Tuzlad\xc4\xb1lar'
1202175610237440002,2019-12-04 10:39:35,b'@MutercimlerErol Sakin ol \xc5\x9fampiyon !'
1201999689974976512,2019-12-03 23:00:32,b'@AtillaTasNet @OguzhanUgur \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/U2mkTzyLKd'
1201659662799638528,2019-12-03 00:29:24,b'@haluklevent Adams\xc4\xb1n iyi kalpli insan \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
1201657560354439168,2019-12-03 00:21:02,b'@OdunHerif Sen neler yap\xc4\xb1yorsun \xf0\x9f\x98\x81'
1201657197769437184,2019-12-03 00:19:36,b'@OdunHerif \xc3\x87al\xc4\xb1\xc5\x9f\xc4\xb1yoruz'
1201655911795904517,2019-12-03 00:14:29,b'@elonmusk you can not be serious \xf0\x9f\x98\x81'
1201249679264104449,2019-12-01 21:20:16,b'RT @ceguluvera: Chivas Kongresi https://t.co/ny7VQmbgMH'
1200295488353947649,2019-11-29 06:08:39,b'@MutercimlerErol S\xc3\xb6zde su\xc3\xa7suz yere g\xc3\xb6revden al\xc4\xb1nan pkk l\xc4\xb1 belediye ba\xc5\x9fkanlar\xc4\xb1ndan bahsediliyorlar fark\xc4\xb1ndam\xc4\xb1s\xc4\xb1n\xc4\xb1z?\xe2\x80\xa6 https://t.co/AWfm0eHJ2S'
1200280471399272454,2019-11-29 05:08:59,"b""RT @Mehmet_Ali_ONEL: Haberin \xc3\xb6znesini taklit etmek...\n\nDe\xc4\x9fil ki, devleti milleti temsil eden Cumhurba\xc5\x9fkan\xc4\xb1'na,  s\xc4\xb1radan bir vatanda\xc5\x9fa da bu\xe2\x80\xa6"""
1197994093302947840,2019-11-22 21:43:44,b'@emrealmas_ Ku\xc5\x9fluk vakti \xf0\x9f\x98\x81'
1194430553350647808,2019-11-13 01:43:30,"b""RT @DrSinanOgan: Zaman de\xc4\x9fi\xc5\x9fse de sizin Ruslara, \xc4\xb0ngilizlere, Amerikal\xc4\xb1lara ibrik\xc3\xa7ili\xc4\x9finiz ve T\xc3\xbcrk'e d\xc3\xbc\xc5\x9fmanl\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1z de\xc4\x9fi\xc5\x9fmiyor...\n#sal\xc4\xb1 #suy\xe2\x80\xa6"""
1187502203499663363,2019-10-24 22:52:42,b'@izmirgibiyiz Neden muhtar ?'
1183487514075680768,2019-10-13 20:59:46,b'@elonmusk ??'
1121790897622896642,2019-04-26 14:59:26,b'@SercanEfendi Ben oksijen de\xc4\x9fil d\xc3\xb6l israf\xc4\xb1'
1121789599125131264,2019-04-26 14:54:16,"b""RT @zatungcom: Havayolu firmas\xc4\xb1 taraf\xc4\xb1ndan bileti iptal edilen Funda Esenc'e Metro Turizm kap\xc4\xb1lar\xc4\xb1n\xc4\xb1 a\xc3\xa7t\xc4\xb1\n#FundaEsenc"""
1096768682871664641,2019-02-16 13:50:05,b'RT @abdibaktur: Assfgdfhdjdhdgsd \xf0\x9f\x98\x82 https://t.co/wlVwMSVIgy'
1095211194615504896,2019-02-12 06:41:11,b'RT @sarigelinler: Sizde Olcay \xc3\x87ak\xc4\xb1r\xc4\xb1n bu muhte\xc5\x9fem yorumundan sonra  g\xc3\xb6revine son verilir mi ? Hem de yay\xc4\xb1nc\xc4\xb1 kurulu\xc5\x9fun kanal\xc4\xb1nda \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbbht\xe2\x80\xa6'
1095208484742799361,2019-02-12 06:30:25,b'@fatihturguut 1'
1093021542861164544,2019-02-06 05:40:17,b'RT @CanerYamanCY: Ben size yenilmem! https://t.co/mq8431Xfp8'
1089944814349631489,2019-01-28 17:54:28,"b'RT @kacsaatoldu1881: Kaz\xc4\xb1m Karabekir\xe2\x80\x99i anma program\xc4\xb1nda Bakan, 15 Temmuz\'u anlat\xc4\xb1nca Kaz\xc4\xb1m Karabekir\'in torunu: ""Burada sadece Kaz\xc4\xb1m Karabe\xe2\x80\xa6'"
1089616533972811776,2019-01-27 20:10:00,b'@thegitmekal \xc4\xb0zmir \xf0\x9f\x98\x8f'
1088769156579840000,2019-01-25 12:02:49,b'RT @KaraeskiRamiz1: \xc3\x87ocuklar\xc4\xb1 pistten alal\xc4\xb1m.\n\xc5\x9eampiyonlar Ligi. https://t.co/MRY4CGbAjb'
1088745049700122624,2019-01-25 10:27:02,b'RT @ercantofficial: 36 y\xc4\xb1ld\xc4\xb1r meslek i\xc3\xa7indeyim...\nFenerbah\xc3\xa7e\xe2\x80\x99yi ilk kez b\xc3\xb6yle\ng\xc3\xb6r\xc3\xbcyorum...\nDurumu \xc3\xa7ok kritik tak\xc4\xb1m\xc4\xb1n !'
1088581003118039040,2019-01-24 23:35:10,"b'@yusufhalacoglu Ba\xc5\x9f\xc4\xb1n\xc4\xb1z sa\xc4\x9folsun Allah rahmet eylesin, mekan\xc4\xb1 cennet olsun...'"
1086968007891603456,2019-01-20 12:45:42,"b""RT @AErzurum: Mercedes Benz Ege Kupas\xc4\xb1 final ma\xc3\xa7\xc4\xb1nda \xc4\xb0spanya'y\xc4\xb1 \xc3\x96mer Faruk Beyaz\xe2\x80\x99\xc4\xb1n golleriyle 2-0 yenerek \xc5\x9fampiyon olan U16 Milli Tak\xc4\xb1m\xc4\xb1m\xc4\xb1\xe2\x80\xa6"""
1084459026505760768,2019-01-13 14:35:54,b'RT @kacsaatoldu1881: K\xc3\xb6pr\xc3\xbc paras\xc4\xb1na isyan eden bir Ak Partili se\xc3\xa7menin isyan\xc4\xb1n\xc4\xb1 g\xc3\xb6reli birka\xc3\xa7 saat oldu. https://t.co/6MEzyWIhlr'
1082234199120244736,2019-01-07 11:15:14,"b'RT @onderseren: Adam po\xc5\x9fete 25 kuru\xc5\x9f vermemek i\xc3\xa7in markete e\xc5\x9fekle girmi\xc5\x9f. O\xc4\x9flum ne po\xc5\x9fetmi\xc5\x9f ya. Burdan \xc5\x9funu anl\xc4\xb1yoruz, \xc3\xbccretli bi \xc5\x9feyin fiy\xe2\x80\xa6'"
