id,created_at,text
1242185495519662086,2020-03-23 20:24:35,b'@izzynobre The Smiths'
1242079777101623296,2020-03-23 13:24:30,b'@bernardopkuster Eles est\xc3\xa3o fazendo isso com quem divulgam informa\xc3\xa7\xc3\xb5es falsas. O Olavo deveria ficar calado sobre e\xe2\x80\xa6 https://t.co/VA1zNtVS0Z'
1241504150137028614,2020-03-21 23:17:10,"b'@ViniciusPoit @jairbolsonaro @anvisa_oficial Espero que isso n\xc3\xa3o seja apenas outra fosfoetanolamina (""p\xc3\xadlula do cancer"")...'"
1241454786995802112,2020-03-21 20:01:00,b'@gabrielamaralll Goleiro de futsal.'
1241144431711072257,2020-03-20 23:27:46,"b'@pfnery Na minha opini\xc3\xa3o, muitas medidas duras j\xc3\xa1 est\xc3\xa3o sendo tomadas em alguns estados. Isso s\xc3\xb3 seria uma chancela.'"
1241143460440219653,2020-03-20 23:23:54,b'@o_antagonista \xc3\x89 um novo 1929 ou 2008...'
1241143286288580611,2020-03-20 23:23:13,"b'@o_antagonista Se for verdade, seria um tiro no p\xc3\xa9, principalmente para a economia, j\xc3\xa1 que as PECs n\xc3\xa3o podem tramitar durante esse per\xc3\xadodo.'"
1241143067257843712,2020-03-20 23:22:21,"b'@samydana @InvestNewsBR Samy, recomenda para n\xc3\xb3s alguns artigos acad\xc3\xaamicos e livros sobre economia. Queria ler algu\xe2\x80\xa6 https://t.co/OuPtWDm7yB'"
1241142771639111681,2020-03-20 23:21:10,"b'Fico triste em ver que alguns ao inv\xc3\xa9s de se juntar aos esfor\xc3\xa7os contra o coronav\xc3\xadrus, apenas pensam em fazer ataques pessoais.'"
1241136230143873024,2020-03-20 22:55:11,"b'Que os pa\xc3\xadses s\xc3\xa3o desiguais, \xc3\xa9 fato. Isso influencia na capacidade de cada um de combater o coronav\xc3\xadrus e de se res\xe2\x80\xa6 https://t.co/8UieQTN2Ue'"
1240442126292398080,2020-03-19 00:57:03,b'Parece que a taxa de juros do Fed e do BCB est\xc3\xa3o abaixo da... curva de aceita\xc3\xa7\xc3\xa3o do Mercado Financeiro \xf0\x9f\x98\xae'
1240060462127108096,2020-03-17 23:40:28,"b'Ser\xc3\xa1 que agora d\xc3\xa1 pra dizer: ""A culpa n\xc3\xa3o \xc3\xa9 minha, eu votei no Mandetta""?\xf0\x9f\xa4\x94'"
1239990254184075280,2020-03-17 19:01:29,b'@Rconstantino O Felipe Neto chamou o @BoletimCoppolla de lambe botas do governo. E olha que o Caio \xc3\xa9 um cara super tranquilo.'
1239367485452886017,2020-03-16 01:46:49,b'@KennedyAlencar O voto dos Cubanos \xc3\xa9 muito importante pra vencer na Fl\xc3\xb3rida?'
1239365442294157313,2020-03-16 01:38:42,"b'O Mandetta est\xc3\xa1 lidando bem com a situa\xc3\xa7\xc3\xa3o do Coronav\xc3\xadrus, mas infelizmente o Presidente foi na contram\xc3\xa3o das recom\xe2\x80\xa6 https://t.co/IFJBJPBdCt'"
1239364645565186048,2020-03-16 01:35:32,b'Os l\xc3\xadderes das duas casas do Congresso s\xc3\xa3o muito bem assessorados. Eles sabem sempre se colocar como um contraponto\xe2\x80\xa6 https://t.co/nIf8BoXB03'
1239197073477636096,2020-03-15 14:29:40,b'@DaniloGentili Isso beira o fanatismo. Parece muito com uma seita religiosa...'
1238939643833442311,2020-03-14 21:26:44,"b'Incr\xc3\xadvel como alguns criticam as fake news (com toda raz\xc3\xa3o), mas ficam fazendo suposi\xc3\xa7\xc3\xb5es levianas...'"
1238937992363982849,2020-03-14 21:20:10,"b'@P_droMenezes Isso me lembra muito a Revolu\xc3\xa7\xc3\xa3o Francesa. Robespierre levou muitos \xc3\xa0 guilhotina, mas no final acabou sendo guilhotinado.'"
1238907180922830848,2020-03-14 19:17:44,"b'@nilmoretto Eu sei, Nilce, fui evang\xc3\xa9lico at\xc3\xa9 uns 17 anos. Mas os crentes gostam de us\xc3\xa1-la h\xc3\xa1 muito tempo, sem conota\xc3\xa7\xc3\xa3o pol\xc3\xadtica.'"
1238901511134076931,2020-03-14 18:55:12,"b'@nilmoretto J\xc3\xa1 ouvi, mas essa express\xc3\xa3o \xc3\xa9 usada muito antes dessa onda militarista...'"
1238826500658466819,2020-03-14 13:57:08,"b'@Ideias_Radicais Meus p\xc3\xaasames, Rapha.'"
1238599176335826944,2020-03-13 22:53:50,b'Algu\xc3\xa9m a\xc3\xad est\xc3\xa1 jogando o Brasfoot 2020?'
1237176377461428225,2020-03-10 00:40:08,"b'\xc3\x89 muito irrespons\xc3\xa1vel, que no meio de v\xc3\xa1rios eventos catastr\xc3\xb3ficos para a economia global, o Presidente da Rep\xc3\xbablic\xe2\x80\xa6 https://t.co/JipAlauOpU'"
1236973100513865728,2020-03-09 11:12:23,"b'@samydana V\xc3\xa3o se afobar e comprar v\xc3\xa1rias a\xc3\xa7\xc3\xb5es, mas quando eles verem que as a\xc3\xa7\xc3\xb5es n\xc3\xa3o est\xc3\xa3o subindo como achavam q\xe2\x80\xa6 https://t.co/NkgtjZxsy8'"
1236083061273563138,2020-03-07 00:15:41,"b'@samydana Samy, a den\xc3\xbancia tem fundamento?'"
1235540482391805952,2020-03-05 12:19:40,b'@Vinncent He was forbidden to leave Brazil by Brazilian justice due an irregular construction that he and his broth\xe2\x80\xa6 https://t.co/VTkrRO1Nf8'
1235374682221826050,2020-03-05 01:20:51,"b'Uma coisa que eu aprendi na vida - e que eu acredito que me ajuda a ser uma pessoa melhor -, \xc3\xa9 nunca torcer contra\xe2\x80\xa6 https://t.co/nvxqw82itg'"
1235373275330629632,2020-03-05 01:15:15,"b'@ViniciusPoit As reformas s\xc3\xa3o importantes, mas temos que reconhecer que vai demorar um pouco para elas surtirem efe\xe2\x80\xa6 https://t.co/ipCsdFnn44'"
1235370276382261248,2020-03-05 01:03:20,"b'Apesar da Selic baixa e da infla\xc3\xa7\xc3\xa3o controlada, o crescimento do PIB ainda est\xc3\xa1 muito baixo e o desemprego alto, po\xe2\x80\xa6 https://t.co/88zaILFVOx'"
1235310014472097792,2020-03-04 21:03:53,b'It seems to me that the dispute over Democratic Party nomination will be between Sanders (representing the progress\xe2\x80\xa6 https://t.co/I7WJlrWrLc'
1234266209429917698,2020-03-01 23:56:10,"b'@faveladoinvest \xc3\x89 uma tentativa de conter fake news, a\xc3\xad eles fazem isso sem analisar direito.'"
1234258985781538818,2020-03-01 23:27:28,"b'@gugachacra O Sanders vai ser o candidato do Partido Democrata porque ele \xc3\xa9 o mais ""anti-Trump"" entre os concorrent\xe2\x80\xa6 https://t.co/XkAZE9gJOc'"
1234245142384644100,2020-03-01 22:32:27,"b'@samydana Samy, o site Trading Economics \xc3\xa9 confi\xc3\xa1vel para obten\xc3\xa7\xc3\xa3o de dados?'"
1234244943419527168,2020-03-01 22:31:40,b'@samydana Minha pergunta \xc3\xa9: qual \xc3\xa9/ser\xc3\xa1 o impacto da automa\xc3\xa7\xc3\xa3o e da intelig\xc3\xaancia artificial na ind\xc3\xbastria brasileira\xe2\x80\xa6 https://t.co/GuaCxcviml'
1234243716954628097,2020-03-01 22:26:47,b'Meu sonho \xc3\xa9 que o brasileiro fosse mais focado em coisas importantes e deixasse de lado as fofocas que n\xc3\xa3o acrescen\xe2\x80\xa6 https://t.co/gXELbSTdta'
1234243018376478724,2020-03-01 22:24:01,"b'2) Por\xc3\xa9m, taxas de desemprego muito altas j\xc3\xa1 s\xc3\xa3o realidade em muitos pa\xc3\xadses africanos (Nam\xc3\xadbia: 33,40%, Angola: 30,\xe2\x80\xa6 https://t.co/mFOf33N6yV'"
1234243016333963264,2020-03-01 22:24:00,"b'1) Com a ascens\xc3\xa3o da automa\xc3\xa7\xc3\xa3o de da intelig\xc3\xaancia artificial, muito se fala sobre o futuro dos empregos no Ocidente\xe2\x80\xa6 https://t.co/HLNqXdAHHN'"
1233859957138821121,2020-02-29 21:01:52,"b'@samydana @faveladoinvest @nathfinancas Ela \xc3\xa9 de esquerda e escreve para o El Pa\xc3\xads, o restante eu n\xc3\xa3o sei confirmar.'"
1233762715165974531,2020-02-29 14:35:28,"b'@gugachacra Guga, fala sobre o acordo entre EUA e o Taliban, por favor.'"
1229808856718626820,2020-02-18 16:44:14,b'Anuncia o Fred que \xc3\xa9 certeza que vai aumentar o n\xc3\xbamero de s\xc3\xb3cios do Fluminense.'
1229208200433545217,2020-02-17 00:57:27,"b'Tudo o que eu gostaria, era que, de alguma forma, eu pudesse compartilhar o conte\xc3\xbado que eu tenho de alguma forma p\xe2\x80\xa6 https://t.co/2tUiWCqea0'"
1226722120681639937,2020-02-10 04:18:39,"b'@samydana Opa, estarei aguardando.'"
1226721619147665410,2020-02-10 04:16:40,b'@samydana Quando \xc3\xa9 que voc\xc3\xaas v\xc3\xa3o lan\xc3\xa7ar esse curso de AI?'
