id,created_at,text
507516097168293888,2014-09-04 13:10:41,b'@DominicTurnbull @TheLadBible'
296686699176660992,2013-01-30 18:29:55,b'Fancy pants nigga :p'
281070544206581761,2012-12-18 16:16:54,b'Axiom rocks! Software failure : new phone :p'
272471823378182144,2012-11-24 22:48:39,"b'Just when everything is about ready to go, no slot in Africa!'"
272330697186881537,2012-11-24 13:27:52,b'@cocokayxx bunny mount!'
271839041899618304,2012-11-23 04:54:12,"b'""fat tax"" in France, "" Football league"" in India... What\'s next? The world is getting weird by the day!'"
270309113328726016,2012-11-18 23:34:49,"b""Ek and Eq wants -8's!"""
268557015125729280,2012-11-14 03:32:36,b'RT @_slickrick: from the writers of the hangover... #21andOver http://t.co/PmfzvygV'
266177871666622468,2012-11-07 13:58:44,"b""RT @_slickrick: So that's why we get motion sickness \xe2\x80\x9c@AsapSCIENCE: Ever wonder why people get motion sickness? We explain it here: http ..."""
263277177284472832,2012-10-30 13:52:25,b'Steady @ dive beach http://t.co/BPo4VZ0o'
263257111939657729,2012-10-30 12:32:41,b'Veronica getting old.... Needs 2 front shocks'
257354910809608192,2012-10-14 05:39:26,b'Just posted a photo http://t.co/jUlWlOtP'
252053291058487296,2012-09-29 14:32:42,b'My Current Location http://t.co/MXmRx1eR'
247612428202934272,2012-09-17 08:26:17,b'Monday - back to school :p  @ Enterprise House http://t.co/0duHQolF'
246707111399157761,2012-09-14 20:28:53,b'@ext0jab28 @cocokayxx wifi @ the train'
246706940162502656,2012-09-14 20:28:12,b'@cocokayxx baby bbm dead still on the train back to stansted airport'
246542142653222912,2012-09-14 09:33:21,b'Fatty boom boom   @ Enterprise House http://t.co/qbmHsRox'
246517102620573696,2012-09-14 07:53:51,b'Dropped Pin http://t.co/4wo7TEIx'
245591377990266882,2012-09-11 18:35:22,b'Lol....  @ Bishops Stortford Railway Station (BIS) http://t.co/mjXsgeme'
245535842842587136,2012-09-11 14:54:41,b'Just posted a photo  @ USS Pampanito Submarine http://t.co/iEq5Jf9k'
245433059434954752,2012-09-11 08:06:15,"b'Just posted a photo  @ Harrods Aviation Terminal, Stansted http://t.co/tyhN7DUi'"
245147666865086464,2012-09-10 13:12:13,b'747-800   @ London Stansted Airport (STN) http://t.co/1bn7mvBK'
244583864700399616,2012-09-08 23:51:52,b'Home for a month   @ Stonehall Business Park http://t.co/Eg2GFPKr'
244583386033823744,2012-09-08 23:49:58,b'Just posted a photo  @ London Heathrow Airport (LHR) http://t.co/3Stwxciw'
241010415545483265,2012-08-30 03:12:15,b'RT @sam_yg: a bit about Karma: http://t.co/UQxHhQsa'
237504893533945856,2012-08-20 11:02:33,"b'Aircraft washer says ""soap kills grease!"" - anu  sya bactera? Lol'"
236748329680252928,2012-08-18 08:56:15,b'How hot is it in Dubai? http://t.co/Fv6iWknL'
231714752580165633,2012-08-04 11:34:36,b'Office stby.... http://t.co/gcRUde2E'
231683503065026560,2012-08-04 09:30:26,b'HhWwTv  :) http://t.co/qiUfdRu0'
231678783357329408,2012-08-04 09:11:40,b'Just posted a photo http://t.co/EZk7YqYU'
229159623708520448,2012-07-28 10:21:26,b'Its never above 50c here in dubai???'
227641060610957312,2012-07-24 05:47:12,b'Overtime on ramadan... I wonder what happens when labor knows about companies that operate  like this?'
226291575175659520,2012-07-20 12:24:50,b'Just posted a photo http://t.co/8QnfU0FV'
225046954525200385,2012-07-17 01:59:09,b'http://t.co/0tEwFyq8'
218642428977090562,2012-06-29 09:49:52,b'Wake day! http://t.co/0ubUvMv7'
214935754189705216,2012-06-19 04:20:51,b'RT @angeltankeko: One of the hardest decisions you\xc2\x92ll ever face in life is choosing whether to walk away or try harder @_lovesurvivor'
200056773179224064,2012-05-09 02:57:06,b'Missing her so much....'
180280326894010368,2012-03-15 13:12:34,"b'Eat Japanese use chopsticks,eat Filipino use spoon + fork, eat European use a knife + fork....'"
