id,created_at,text
1241862656698585093,2020-03-22 23:01:44,b'RT @Tesla: Model Y deliveries begin!\n\nhttps://t.co/ZhuiM5MTOf https://t.co/3gX6MBPmhp'
1111319634341490689,2019-03-28 17:30:22,"b'Lord Heseltine, one of the greatest in the British democracy, since when he tried to challenge Mrs Thatcher for the\xe2\x80\xa6 https://t.co/6U5d2V9Ry9'"
1082359751692955648,2019-01-07 19:34:08,"b""I'm playing Cowabunga on iOS! Go try it! #cowabunga #iphone #iose https://t.co/I52avSZnPQ"""
1079920191553835008,2019-01-01 02:00:12,b'RT @RoyalFamily: As we say goodbye to 2018 here\xe2\x80\x99s a look at some of the most memorable moments of the year from The Queen\xe2\x80\x99s engagements. Ha\xe2\x80\xa6'
1079920148558110720,2019-01-01 02:00:02,b'RT @micheleboldrin: Sfacciato bugiardo. Il Presidente del consiglio \xc3\xa8 uno sfacciato bugiardo ed un incompetente al servizio della Casaleggi\xe2\x80\xa6'
1008020647887372291,2018-06-16 16:17:05,"b'RT @Conservative_88: ""No!"" disse il Piave, ""No!"" dissero i fanti,\n""Mai pi\xc3\xb9 il nemico faccia un passo avanti!""\nSi vide il Piave rigonfiar le\xe2\x80\xa6'"
998303458800422913,2018-05-20 20:44:26,b'RT @CloeCouture: What do you hear?! Yanny or Laurel https://t.co/jvHhCbMc8I'
862056564047458304,2017-05-09 21:27:55,"b""RT @ToyotaGB: Quick and clean.\n\nToyota's Hydrogen Fuel Cell truck takes on diesel: https://t.co/54zag977B1 https://t.co/fThuTBjW9c"""
723426470253580288,2016-04-22 08:21:25,b'RT @UKParliament: #HappyBirthdayYourMajesty! Take this quiz to test your knowledge about the Queen: https://t.co/MHX7fsYJZ2 https://t.co/Sv\xe2\x80\xa6'
656861952904425473,2015-10-21 15:57:48,"b""USA Today travels 'Back to the Future' with front page from the film https://t.co/PhGeNPFzLc via @mashable"""
596340854090006528,2015-05-07 15:48:33,"b'Given the following options, what does VE Day mark the end of? I got 4 out of 6 right! http://t.co/oTFSSJF1vy'"
596029875368132608,2015-05-06 19:12:50,"b'RT @CharCowles: I wish our #GeneralElection was a bit more exciting! Like Americas. Flags, banners, just general excitement and passion for\xe2\x80\xa6'"
596029306117214208,2015-05-06 19:10:34,b'RT @UKParliament: 1 day to the #GeneralElection #GE2015 http://t.co/F5KKFispMm'
518816382172299265,2014-10-05 17:33:59,"b""@matteosalvinimi l'hai capito? La colpa per i morti negli sbarchi degli immigrati \xc3\xa8 di chi permette gli sbarchi! Fai esempio dei rapimenti!"""
517783125670498304,2014-10-02 21:08:11,"b'@matteosalvinimi Italia unico paese con rapimenti. Poi stop a riscatti,crimine non paga pi\xc3\xb9. Cos\xc3\xac, stop ad arrivi-non si entra -&gt;stop morti!'"
429689254814695424,2014-02-01 18:54:36,b'RT @sole24ore: Zingales: \xc2\xabSe Fiat espatria il problema \xc3\xa8 cosa qui in Italia non va\xc2\xbb http://t.co/rwicr11zYW'
420487002954661888,2014-01-07 09:28:08,"b""@matteorenzi bravo, hai l'appoggio di tutti noi, ma fai in modo che ognuno risponda agli elettori singolarmente nel proprio collegio"""
418884238772273153,2014-01-02 23:19:19,"b'Caro @matteorenzi \xc3\xa8 #lavoltabuona,per\xc3\xb2 non accettare maggioritari di coalizione,ma solo di collegio:il candidato se perde deve andare a casa'"
380067977728884736,2013-09-17 20:37:21,b'@micheleboldrin Dopo ballar\xc3\xb2 non ne posso pi\xc3\xb9.. perch\xc3\xa9 amo Italia Dimenticavo sul contrasto di interessi.. spinge crescita e PIL! Cordialit\xc3\xa0'
380066355346964481,2013-09-17 20:30:55,b'@micheleboldrin Sono a disposizione per aiuto a fare compatibilmente con professione. Commercialista liberista con debole per scienza finanz'
380065870640582657,2013-09-17 20:28:59,"b'Caro prof @micheleboldrin, \xc3\xa8 d\'accordo sul contrasto interessi fiscale? (Detraz deduc). ""Risolve"" evasione e gettito, per\xc3\xb2 tassa risparmio.'"
359411687180349440,2013-07-22 20:36:38,"b""Arthur sounds good for a #royalbaby.. and for Britain's next King.."""
359401135548805121,2013-07-22 19:54:42,b'RT @RoyalReview: A king is born!!! The 3rd in line to the throne is a boy.. no name yet! #royalbaby'
353999706130616320,2013-07-07 22:11:21,"b""RT @micheleboldrin: Decreti del #Fare ma di azione ce n'\xc3\xa8 davvero poca http://t.co/HSV4BxSmFb"""
353883351557476352,2013-07-07 14:29:00,"b""@MarsCuriosity Why didn't @NASAJPL send you to Pole where there is dry ice and probably water? Will you join pole? You've got a big battery!"""
348141411369119746,2013-06-21 18:12:35,"b'@FabioZerega Certo che se cinguetti da un ramo con la tua stazza, avremo il primo fringuello da un quintale che tira gi\xc3\xb9 tutto..'"
348140733418577920,2013-06-21 18:09:53,"b'@FabioZerega fffff.. anche qui..! Email ricevuta : guizzo, conosci Fabio Zerega su Twitter? Ma... Come c...o fanno a saperlo?'"
343770043215130625,2013-06-09 16:42:19,b'RT @JeepGarageOrg: @officialmopar @FIATUSA @Chrysler daughters first car had to be a #mopar! moparfamily http://t.co/gPZtuCexsL'
326411451675836418,2013-04-22 19:05:29,"b""RT @byoblu: @BettazziFranco ma l'hai capito o no che il Governo \xc3\xa8 gi\xc3\xa0 pronto?"""
325993628017246211,2013-04-21 15:25:12,b'Al #Quirinale hanno rieletto #napolitano .. \xc3\x88 come se i cardinali avessero rieletto Ratzinger'
325615025605722112,2013-04-20 14:20:46,"b'@monarchico @corriereit nessun presidente eletto dai partiti \xc3\xa8 per tutti gli italiani, ma per la partitocrazia.Solo #Re pu\xc3\xb2 salvare #Italia'"
321595418163167233,2013-04-09 12:08:17,b'RT @MeltonBlue: Thatcher: HM The Queen and the Duke of Edinburgh will attend #Baroness Thatchers funeral #OrderOfTheGarter'
321592975421472768,2013-04-09 11:58:34,"b'RT @lucianocap1: ""Pensare di curare l\'Inghilterra col socialismo \xc3\xa8 come tentare di curare la leucemia con le sanguisughe"" #Thatcher'"
321591867055677440,2013-04-09 11:54:10,b'RT @monarchico: #elezioni del presidente della #repubblica = #roulette #politica http://t.co/5SIs1YN1VH http://t.co/79GciwwJW5'
316713492524703746,2013-03-27 00:49:15,"b'RT @valerio_berruti: Per un\xe2\x80\x99auto aziendale da 30.000 \xe2\x82\xac in Italia deduzione fiscale di 5.697, in Germania di 30.000'"
316712641479446529,2013-03-27 00:45:52,b'@fiatontheweb io percorsi 158.000 km senza un problema! Gran motore!'
316712335085555713,2013-03-27 00:44:39,b'RT @fiatontheweb: Congratulazioni al nostro motore diesel 1.3 MultiJet che ha raggiunto i 5 milioni di unit\xc3\xa0 prodotte!!! Grazie a chi lo ...'
313763151046926336,2013-03-18 21:25:39,b'RT @MonarchySociety: We certainly are! http://t.co/HDLA9rGQBV'
305060692833230848,2013-02-22 21:05:11,b'RT @monarchico: Ricordo di Maria Jos\xc3\xa9: \n12 anni fa a Ginevra moriva la Regina Maria Jos\xc3\xa9.\n27 gennaio 2001\n\nPer Suo espresso vol... http ...'
303977205728415746,2013-02-19 21:19:48,"b""RT @OGiannino: Parola d'ordine: @beppe_grillo li fa dimettere, noi li sostituiamo. @Fare2013 #fare2013 #FAREsulserio"""
301002924383952899,2013-02-11 16:21:04,"b'@DeBortoliF finch\xc3\xa9 non capiscono (il pd per primo se vuole vincere, e da solo..) che devono scegliere un vero maggioritario..Ne hanno paura?'"
295507871356043264,2013-01-27 12:25:41,"b'RT @monarchico: Mafalda - Giorno della Memoria: \n Nel Giorno della Memoria ricordiamo la Principessa Mafalda di Savoia, deceduta... http ...'"
292984155191529472,2013-01-20 13:17:20,"b'@Cavicchi4R Potevano fare la duetto qua, e invece andiamo noi l\xc3\xa0. Nessuno viene qua. E Mazda \xc3\xa8 legata a Ford, quindi dubito si riesca..'"
292649014900449282,2013-01-19 15:05:36,b'@OGiannino Nessuno viene in Italia e chi pu\xc3\xb2 scappa La sorte peggiore a chi non pu\xc3\xb2 neanche scappare Fermare il declino http://t.co/ExqFlvII'
292250078142402560,2013-01-18 12:40:23,"b""@VodafoneIT Senza perdere l'alter ego, il suo piano, e senza perdere il numero 2, ovviamente! ;-) Grazie mille sempre gentilissimi!"""
292221635988164610,2013-01-18 10:47:21,b'@VodafoneIT Buongiorno. Si pu\xc3\xb2 sovrascrivere in MNP il numero 1 di una SIM alter ego?'
266325031452282881,2012-11-07 23:43:30,b'@Noverca buona sera. Ma \xc3\xa8 mai possibile? Quasi tutti i giorni intorno alle cinque sei non si pu\xc3\xb2 chiamare e non si pu\xc3\xb2 ricevere? Rapallo'
261965731409833984,2012-10-26 23:01:12,"b'@LUltimaParola #ultimaparola L\'Argentina non aveva euro, ma la sua moneta. \xc3\x88 finita piena di debiti in default e con inflazione ""argentina""'"
261965407169150976,2012-10-26 22:59:54,"b""@LUltimaParola #ultimaparola Mettere in discussione l'euro \xc3\xa8 come aprire il vaso di Pandora. Nessuno sa come pu\xc3\xb2 finire."""
261427963118100482,2012-10-25 11:24:18,b'@VodafoneIT Ok grazie. Mandato. Attendo Vostre'
261417174772633600,2012-10-25 10:41:26,"b'@VodafoneIT #tw190 \xc3\x88 possibile avere vod autoricarica, che a quanto so accredita 5 euro ogni 10 spesi? Tutto senza perdere la open. Grazie'"
261416842017533952,2012-10-25 10:40:06,b'@VodafoneIT #tw190 \xc3\x88 possibile portando il mio numero principale sulla scheda esistente avere square Smart in promozione a 10 euro?'
261416487007428608,2012-10-25 10:38:42,"b'@VodafoneIT #tw190 Ciao Ho sulla mia SIM vodafone open 200, e vorrei usarla definitamente portandoci sopra il mio numero principale. Si pu\xc3\xb2?'"
261415295158210560,2012-10-25 10:33:57,b'@vodafoneit grazie'
261408288611110912,2012-10-25 10:06:07,"b'@VodafoneIT \xc3\x88 possibile avere vodafone auto ricarica, che a quanto so accredita 5 euro ogni 10 spesi? Tutto senza perdere la open. GraIe'"
261407920242188289,2012-10-25 10:04:39,b'@VodafoneIT \xc3\x88 possibile portando il mio numero principale sulla scheda esistente avere square Smart in promozione a 10 euro per due anni?'
261407651303407616,2012-10-25 10:03:35,"b'@VodafoneIT Buongiorno. Ho sulla mia SIM vodafone open 200, e vorrei usarla definitamente portandoci sopra il mio numero principale. Si pu\xc3\xb2?'"
249481014437613569,2012-09-22 12:11:23,"b'@VodafoneIT vale anche per mnp su SIM gi\xc3\xa0 attivata e con promozioni gi\xc3\xa0 attive (non Smart, che invece verrebbe aggiunta)? Grazie'"
240160170347466752,2012-08-27 18:53:41,b'@ArturJeziorski Can you read my tweets?'
234682161368821761,2012-08-12 16:06:02,b'@bipmobile_it .. Non regaliamo quella stupida tassa di concessione governativa per il lusso del telefonino allo stato! Ricaricabile for ever'
234681795508060160,2012-08-12 16:04:34,"b'@bipmobile_it ricaricabile infinito come ha provato poste mobile, ma a \xe2\x82\xac19.99 come free in Francia (anche le chiamate internazionali!)..'"
233589310283194368,2012-08-09 15:43:26,b'@nacomit ora si'
233582854821535744,2012-08-09 15:17:47,"b""@nacomit non si leggono i tuoi link con l'offerta"""
232849039387926528,2012-08-07 14:41:51,"b""@Sema23_ pochissimi la vedono com'\xc3\xa8 in realt\xc3\xa0: un robusto cavallo che traina un carro molto pesante. Sir Winston Churchill"""
232848823234469890,2012-08-07 14:41:00,"b""@Sema23_ Rispondo a tono.\nAlcune persone vedono un'impresa privata come una tigre feroce da uccidere subito, altri come una mucca da mungere"""
232846187756130304,2012-08-07 14:30:31,b'Ma cavolo.. In risposta ad un tweet ho i caratteri contati.. \xf0\x9f\x98\xa3\xf0\x9f\x91\xbf'
