id,created_at,text
1241879257862807553,2020-03-23 00:07:42,b'Why is it gotta be so cold'
1241825735817519104,2020-03-22 20:35:02,b'RT @AlecBenjamin: oh ? \n\ncorona virus is still here ? \n\nthink ill just go back to sleep'
1241815854116896771,2020-03-22 19:55:46,b'Dis lockdown is a piece of shi\xf0\x9f\x98\xad'
1241794077403856896,2020-03-22 18:29:14,b'I miss my bestfriend'
1241742896820355072,2020-03-22 15:05:51,b'RT @AlecBenjamin: guess my house is a prison \n\nand im never gunna get out'
1241051154974416896,2020-03-20 17:17:07,b'I swear people need to learn to drive'
1240998268441681923,2020-03-20 13:46:58,b'It\xe2\x80\x99s already the weekend'
1240759286382440449,2020-03-19 21:57:20,b'@nike13boi Bro starbucks is da best'
1240758455343906816,2020-03-19 21:54:02,b'RT @dxmnquotes: Wake me up when Covid-19 ends. \xf0\x9f\x98\x94\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
1240758406140571650,2020-03-19 21:53:50,b'RT @dxmnquotes: Life is tough but my darling I have you'
1240720573610819584,2020-03-19 19:23:30,b'RT @iamblackbear: i saved ur name as dont answer'
1240716304576700416,2020-03-19 19:06:33,b'I want starbucks\xf0\x9f\x92\xaf\xf0\x9f\x98\xa9'
1240714461842989058,2020-03-19 18:59:13,"b""RT @CoupleWishes: I won't give up on us."""
1240714362261843969,2020-03-19 18:58:49,b'RT @CoupleWishes: I miss you.\nI miss your voice.\nI miss your laughs.\nI miss your hugs.\nI really miss you so much.'
1240714324420616192,2020-03-19 18:58:40,b'RT @bigdaddyleov: This quarantine shit boring as fuck I\xe2\x80\x99m about to start doing tbh &amp; rates again'
1240469652230287360,2020-03-19 02:46:26,b'I\xe2\x80\x99m so bored rn'
1240430988443910144,2020-03-19 00:12:48,b'RT @larrayxo: my 10 year old baby sister came over and she\xe2\x80\x99s down stairs singing \xe2\x80\x9cit\xe2\x80\x99s funny how bitches turn into my fans they watching my\xe2\x80\xa6'
1240037431044440065,2020-03-17 22:08:56,b'@gabcake I want 2016'
1239966607901773826,2020-03-17 17:27:31,b'RT @thegreatkhalid: there\xe2\x80\x99s only so many naps I can take'
1239915870954180609,2020-03-17 14:05:54,b'Guess Mac n cheese for breakfast\xf0\x9f\x92\xaf\xf0\x9f\xa4\x94'
1239593574737600513,2020-03-16 16:45:13,b'RT @miniminter: 2020 sucks ass.'
