id,created_at,text
1234036623240843266,2020-03-01 08:43:52,b'RT @Gen_Europa: If anybody still insists that those at the #Greek border are #refugees show them this ...\nIslamist illegal #immigrants shou\xe2\x80\xa6'
1234036098566938626,2020-03-01 08:41:47,b'RT @The_Georgios: Police forces along with the army repel illegal immigrants in the Greek Turkish borders in Evros Be hopeful Europe . http\xe2\x80\xa6'
1211213443031818241,2019-12-29 09:12:42,b'@PappasXA \xce\xbf\xce\xbb\xce\xbf \xcf\x83\xce\xb1\xce\xbb\xce\xb9\xce\xb1 \xce\xba\xce\xb1\xce\xb9 \xce\xbc\xcf\x85\xce\xbe\xce\xb5\xcf\x82 \xce\xb5\xce\xb9\xcf\x83\xce\xb1\xce\xb9'
851020724835938305,2017-04-09 10:35:26,"b'""\xce\x9e\xce\xb5\xcf\x84\xce\xb9\xce\xbd\xce\xac\xce\xb6\xce\xb5\xce\xb9"" \xcf\x84\xce\xbf\xce\xbd \xce\xa3\xce\xa5\xce\xa1\xce\x99\xce\x96\xce\x91 \xce\xbf \xce\xa1\xce\xac\xce\xbc\xcf\x86\xce\xbf\xcf\x82! ""\xce\x9c\xce\xb1\xcf\x82 \xce\xba\xcf\x85\xce\xb2\xce\xb5\xcf\x81\xce\xbd\xce\xbf\xcf\x8d\xce\xbd \xce\xba\xce\xb1\xcf\x84\xce\xb1\xce\xbb\xce\xb7\xcf\x88\xce\xaf\xce\xb5\xcf\x82- \xce\x91\xcf\x80\xce\xbf\xcf\x84\xcf\x85\xcf\x87\xce\xb7\xce\xbc\xce\xad\xce\xbd\xce\xbf\xce\xb9 \xcf\x83\xcf\x84\xce\xb7 \xce\xb6\xcf\x89\xce\xae \xcf\x80\xce\xb1\xce\xaf\xcf\x81\xce\xbd\xce\xbf\xcf\x85\xce\xbd \xcf\x81\xce\xb5\xce\xb2\xce\xac\xce\xbd\xcf\x82 \xcf\x84\xcf\x8e\xcf\x81\xce\xb1"" https://t.co/cnwuhIamhF'"
817085405975678976,2017-01-05 19:08:36,b'@papadimoulis \xce\xb5\xce\xaf\xce\xbd\xce\xb1\xce\xb9  \xce\xb1\xce\xbb\xce\xae\xce\xb8\xce\xb5\xce\xb9\xce\xb1'
797866711370334209,2016-11-13 18:20:22,b'EKTAKTO: &amp;quot;\xce\x95\xce\xba\xce\xb1\xce\xbd\xce\xb5 \xcf\x80\xce\xaf\xcf\x83\xcf\x89&amp;quot; \xce\xb7 \xce\x91\xce\xb3\xce\xba\xcf\x85\xcf\x81\xce\xb1 \xcf\x83\xcf\x84\xce\xbf \xce\x9a\xce\xb1\xcf\x83\xcf\x84\xce\xb5\xce\xbb\xcf\x8c\xcf\x81\xce\xb9\xce\xb6\xce\xbf \xcf\x80\xcf\x81\xce\xbf \xcf\x84\xce\xbf\xcf\x85 \xce\xb5\xce\xbb\xce\xbb\xce\xb7\xce\xbd\xce\xb9\xce\xba\xce\xbf\xcf\x8d \xce\xa3\xcf\x84\xcf\x8c\xce\xbb\xce\xbf\xcf\x85: \xce\x94\xce\xb5\xce\xbd \xce\xad\xcf\x81\xce\xb9\xce\xbe\xce\xb1\xce\xbd \xce\xbf\xcf\x8d\xcf\x84\xce\xb5 \xcf\x83\xcf\x86\xce\xb1\xce\xaf\xcf\x81\xce\xb1! https://t.co/ZZstCX32c5'
769527124118081536,2016-08-27 13:28:58,"b'67 \xce\xa7\xcf\x81\xcf\x8c\xce\xbd\xce\xb9\xce\xb1 \xce\xb1\xcf\x80\xcf\x8c \xcf\x84\xce\xb7\xce\xbd \xce\x9c\xce\xb5\xce\xb3\xce\xac\xce\xbb\xce\xb7 \xce\x9c\xce\xac\xcf\x87\xce\xb7 \xcf\x84\xce\xbf\xcf\x85 \xce\x93\xcf\x81\xce\xac\xce\xbc\xce\xbc\xce\xbf\xcf\x85! ...""\xce\x91\xcf\x8d\xce\xb3\xce\xbf\xcf\x85\xcf\x83\xcf\x84\xce\xbf\xcf\x82 \xcf\x84\xce\xbf\xcf\x85 49 ""\xce\xa4\xce\xbf \xcf\x87\xcf\x81\xce\xbf\xce\xbd\xce\xb9\xce\xba\xcf\x8c!"" https://t.co/LoiJHv7fQa \xce\xbc\xce\xad\xcf\x83\xcf\x89 \xcf\x84\xce\xbf\xcf\x85 \xcf\x87\xcf\x81\xce\xae\xcf\x83\xcf\x84\xce\xb7 @veteranosgr'"
758010422121336832,2016-07-26 18:45:42,b'\xce\xa3\xce\xb5\xce\xb9\xcf\x83\xce\xbc\xce\xb9\xce\xba\xce\xae \xce\xb4\xcf\x8c\xce\xbd\xce\xb7\xcf\x83\xce\xb7  \xce\xb1\xce\xb9\xcf\x83\xce\xb8\xce\xb7\xcf\x84\xce\xae \xcf\x83\xcf\x84\xce\xb7 \xce\x9d\xce\xb1\xcf\x85\xcf\x80\xce\xb1\xce\xba\xcf\x84\xce\xaf\xce\xb1 https://t.co/74YEW7t521'
745231827116376064,2016-06-21 12:28:07,b'\xce\xa6\xcf\x81\xce\xaf\xce\xba\xce\xb7: \xce\x86\xce\xbd\xce\xb4\xcf\x81\xce\xb1\xcf\x82 \xce\xb1\xcf\x80\xce\xbf \xcf\x84\xce\xbf \xce\x9c\xcf\x80\xce\xb1\xce\xb3\xce\xba\xce\xbb\xce\xb1\xce\xbd\xcf\x84\xce\xad\xcf\x82 \xce\xb1\xcf\x83\xce\xad\xce\xbb\xce\xb3\xce\xb7\xcf\x83\xce\xb5 \xcf\x83\xce\xb5 7\xcf\x87\xcf\x81\xce\xbf\xce\xbd\xce\xb7 \xce\xba\xce\xb1\xce\xb9 9\xcf\x87\xcf\x81\xce\xbf\xce\xbd\xce\xb5\xcf\x82 https://t.co/S4Mg4SE06k'
734818042417451008,2016-05-23 18:47:28,b'\xce\xa4\xce\xb1\xce\xba\xcf\x84\xce\xb9\xce\xba\xce\xae  \xce\x86\xcf\x83\xce\xba\xce\xb7\xcf\x83\xce\xb7  \xce\x92\xce\x95\xce\x9b\xce\x9f\xce\xa3 -2016 \xcf\x84\xce\xb7\xcf\x82 \xce\x95\xce\xb8\xce\xbd\xce\xb9\xce\xba\xce\xae\xcf\x82 \xce\xa6\xcf\x81\xce\xbf\xcf\x85\xcf\x81\xce\xac\xcf\x82 \xcf\x83\xcf\x84\xce\xb1 \xce\xbd\xce\xb5\xcf\x81\xce\xac \xcf\x84\xce\xb7\xcf\x82 \xce\x9a\xcf\x8d\xcf\x80\xcf\x81\xce\xbf\xcf\x85! https://t.co/G69LwD2INf'
