id,created_at,text
1242201284406644737,2020-03-23 21:27:19,"b'RT @PalwashaKhan18: All parliamentarians, special assistants, advisors federal and provincial should give up their perks,  privileges, sala\xe2\x80\xa6'"
1241866076281061379,2020-03-22 23:15:19,b'@Waqar_PPP https://t.co/2eXteOhKKz'
1237855759318126592,2020-03-11 21:39:45,b'@beingSufiSaif @lahoreqalandars hahah choron ny chadyian phaink paajamy pehn rakhy thy'
1235481652161204224,2020-03-05 08:25:54,"b'happy birthday to an honest leader, person with solid character.\none word description for @Ch_ManzoorAhmed  is Loya\xe2\x80\xa6 https://t.co/sh2kAb3U0M'"
1229788711405092864,2020-02-18 15:24:11,b'Intazar krain ik wo din b aye ga jb . IK boly ga k mehngayi hwi media ki wajah sy hai https://t.co/jvLlRxo07E'
1228839807855595520,2020-02-16 00:33:35,b'@thirdrowtesla cyber truck i must say'
1227266650652569600,2020-02-11 16:22:25,b'@AWGoraya Bill sy kya muraab apka  ......sentence should be ..... Apni bill k boty pur yahan phncha'
1226075195812741122,2020-02-08 09:28:00,b'@mahwashajaz_ @fawadchaudhry Pagla gyi o kya'
1225925312288116736,2020-02-07 23:32:25,b'positive reporting https://t.co/pq7VAtroNg'
1224309028169441281,2020-02-03 12:29:53,b'I wonder \nSomeday Dr firdous ashiq awan will announce the release of sound frequencies to secure the boundaries of\xe2\x80\xa6 https://t.co/U3YwPplYZa'
1223330262391689216,2020-01-31 19:40:37,"b'RT @Ch_ManzoorAhmed: You can change the name of #BISP to anything you want, you can remove her picture from the card but how will you remov\xe2\x80\xa6'"
1223203168215093248,2020-01-31 11:15:35,b'@iVeenaKhan SazA k taur py kuch waqt veena malik k sath . Ap ki suhbat sab bhool jayien gy'
1223140747475673089,2020-01-31 07:07:33,b'@imranbatt0099g1 @fawadchaudhry O behns inko koi paaani gira k hosh dilwaye'
1221799327682760704,2020-01-27 14:17:14,"b""Isn't it like india is trying to start another movement  of muslim refugees. Just like afghan refugees. To create a\xe2\x80\xa6 https://t.co/eU1BzuQhlO"""
1221117385702363141,2020-01-25 17:07:26,b'Still better than drama itself https://t.co/y6NHLaC3ZM'
1219691510901485572,2020-01-21 18:41:31,b'RT @ajmaljami: \xd8\xaa\xd9\x86\xd8\xae\xd9\x88\xd8\xa7\xdb\x81 \xd8\xaa\xdb\x92 \xd9\x88\xd8\xb2\xdb\x8c\xd8\xb1 \xd8\xa7\xd8\xb9\xd8\xb8\xd9\x85 \xd8\xaf\xdb\x8c \xd9\x88\xdb\x8c \xd8\xaa\xda\xbe\xd9\x88\xda\x91\xdb\x8c \xd8\xa7\xdb\x92 \xd8\xb3\xd9\x88\xdb\x81\xd9\x86\xdb\x8c\xd8\xa7! https://t.co/tcmYY4oQHD'
1218577962708107264,2020-01-18 16:56:41,b'RT @Ch_ManzoorAhmed: \xdb\x81\xd9\x85 \xd8\xb4\xd9\x86\xd8\xa7\xd8\xae\xd8\xaa\xdb\x8c \xda\xa9\xd8\xa7\xd8\xb1\xda\x88 \xd9\xbe\xd8\xb1\xd9\x84\xda\xa9\xda\xbe\xdb\x92\xdb\x81\xd9\x88\xd8\xa6\xdb\x92\xd9\x84\xd9\x88\xda\xaf \xdb\x81\xdb\x8c\xda\xba\xd8\x8c\xdb\x81\xd9\x85 \xda\xa9\xdb\x81\xdb\x8c\xda\xba \xd8\xa8\xda\xbe\xdb\x8c \xd8\xa7\xd9\xbe\xd9\x86\xd8\xa7\xd9\x88\xd8\xac\xd9\x88\xd8\xaf \xd9\x86\xdb\x81\xdb\x8c\xda\xba \xd8\xb1\xda\xa9\xda\xbe\xd8\xaa\xdb\x92\xd8\xb3\xd8\xb1\xda\xa9\xd8\xa7\xd8\xb1\xdb\x8c \xd9\x81\xd8\xa7\xd8\xa6\xd9\x84 \xda\xa9\xdb\x8c \xd8\xae\xd8\xa7\xd9\x86\xdb\x81 \xd9\xbe\xd9\x8f\xd8\xb1\xdb\x8c \xd9\x85\xdb\x8c\xda\xba \xd9\x85\xda\xaf\xd8\xb1 \xdb\x81\xd9\x85 \xd9\x85\xd9\x88\xd8\xac\xd9\x88\xd8\xaf\xdb\x81\xdb\x8c\xda\xba\n\xdb\x81\xd9\x85\xd8\xa7\xd8\xb1\xdb\x92\xd9\xbe\xdb\x8c\xd8\xb1\xd9\x88\xe2\x80\xa6'
1216681219863216128,2020-01-13 11:19:42,"b""@falamb3 why don't you try surgery for an easy visit. you will stay harmless. cox japania will not be reaching you\xe2\x80\xa6 https://t.co/oYcv9dK61g"""
1216477813450182656,2020-01-12 21:51:26,b'@bhattimz @peaceforchange insane guy'
1213887530023735297,2020-01-05 18:18:34,b'@AWGoraya Pompeo ny phone py yahi kaha. Vekhni o phir awdi maqboolyiat..... Agn sahb chup .....'
1213887253602283520,2020-01-05 18:17:28,b'Yar yeh kn sa nasha krta ...... https://t.co/q9BhVcgF83'
1211994316421451777,2019-12-31 12:55:37,b'RT @najamsethi: https://t.co/oEXykwEqrW'
1210192456370790401,2019-12-26 13:35:40,"b'RT @OfficialDGISPR: Indian CFVs along LOC during the last 36 hours. Responding to CFVs, in Haji Pir Sector Pakistan Army troops damaged Ind\xe2\x80\xa6'"
