id,created_at,text
1241758555625177089,2020-03-22 16:08:05,"b'Barrio antiguo? De repe y lo borran del mapa, son una muy buena cantidad de hect\xc3\xa1reas sedientas de inversionistas m\xe2\x80\xa6 https://t.co/IPr8RLtH3F'"
1241747710371401729,2020-03-22 15:24:59,b'Jajaja pendejo https://t.co/h2JNhfir96'
1241528371055669248,2020-03-22 00:53:24,"b'RT @paugr: \xc2\xa1Una verdadera joya de comercial previo a Alemania \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa 2006 !\n\nQu\xc3\xa9 r\xc3\xa1pido pasa el tiempo, \xc2\xbfno? https://t.co/LbvpWQ3M1w'"
1240776478998122497,2020-03-19 23:05:39,b'\xf0\x9f\x8e\xa7\xf0\x9f\x96\xa4https://t.co/nbr4qn4E9Z'
1240773624270934024,2020-03-19 22:54:19,b'\xf0\x9f\x8e\xa7\xf0\x9f\x96\xa4 https://t.co/IdxA8tVOqm'
1240436317558837248,2020-03-19 00:33:58,b'RT @LUISlTOREY: D\xc3\xada 3 de Cuarentena:\n\nCovid Brayan. https://t.co/qHmuhB186M'
1240090568245608453,2020-03-18 01:40:05,b'@ivanezkoo @FMF @LigaBBVAMX @CArbitrosMX @Rayados Si q chinguen a su madre toda la bola de cabrones chilangos  \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\xf0\x9f\xa4\xa0'
1240088990725873664,2020-03-18 01:33:49,b'RT @ivanezkoo: Para que les siga ardiendo \xf0\x9f\x98\x8c\n@FMF @LigaBBVAMX @CArbitrosMX #ArribaElMonterrey \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xe2\x80\xa6'
1239928895371120640,2020-03-17 14:57:40,b'Para aquellos que estudian espa\xc3\xb1ol.\nhttps://t.co/w3nRcOy2ex'
1239741353870987266,2020-03-17 02:32:26,b'@dw_espanol @GAMEZMARIO'
1239686210735480832,2020-03-16 22:53:19,b'https://t.co/WAc5pZPMTx'
1239603697497317376,2020-03-16 17:25:26,b'RT @HarvardHealth: 4 ways to boost your energy naturally with breakfast. https://t.co/lmSeTobZQ8 https://t.co/jUzDBxzg2b'
1239546043429158914,2020-03-16 13:36:21,b'@luzawi Donde puedo ver m\xc3\xa1s informaci\xc3\xb3n acerca de este programa?'
1239393476262928384,2020-03-16 03:30:06,b'Sta loco este wey!\nCiudadanos libres mexicanos: Destituci\xc3\xb3n de AMLO por incapacidad MENTAL - \xc2\xa1Firma la petici\xc3\xb3n!\xe2\x80\xa6 https://t.co/4aZ7SwH2wd'
1239250009939488780,2020-03-15 18:00:01,b'RT @luzawi: NUEVO Le\xc3\xb3n https://t.co/etRaRCdC9m'
1238715643433811968,2020-03-14 06:36:38,b'RT @gktrksrs: Say\xc4\xb1n TFF Yetkilileri\xf0\x9f\x93\x8c\nGalatasaray &amp; Be\xc5\x9fikta\xc5\x9f derbi ma\xc3\xa7\xc4\xb1na Brezilya futbol federasyonunda g\xc3\xb6rev yapan \xe2\x80\x9cFERNANDA COLOMBO\xe2\x80\x9d atay\xe2\x80\xa6'
1238677412453457920,2020-03-14 04:04:43,b'https://t.co/x81B2IzCDp'
1238287535438258178,2020-03-13 02:15:29,b'RT @samuel_garcias: \xc2\xbfEl gobierno de M\xc3\xa9xico est\xc3\xa1 preparado para el COVID-2019?\n\nMarcamos al n\xc3\xbamero que dio la Secretar\xc3\xada de Salud para obten\xe2\x80\xa6'
1238286481996816385,2020-03-13 02:11:18,b'RT @GAMEZMARIO: Vean esta joyita de @gruposenda en #Monterrey https://t.co/YB7eOoWJHL'
1238281740596260864,2020-03-13 01:52:27,b'RT @VecinoRegi0: Muy buen disfraz de humano.. \xf0\x9f\x98\xac https://t.co/S0NPi2r12O'
1237909310409072640,2020-03-12 01:12:33,b'Nueve s\xc3\xb3lo para mi. https://t.co/e16Vp3j74c'
1237731448754446337,2020-03-11 13:25:47,"b'Hablando de la transparencia, me parece injusto que el @INEGI_INFORMA  vaya a tu casa, te pregunten santo y se\xc3\xb1a de\xe2\x80\xa6 https://t.co/ymh2BZkPsK'"
1237003508102111233,2020-03-09 13:13:13,b'https://t.co/6nXrhssKFV'
1236685733701828610,2020-03-08 16:10:30,"b'4 bultos de 50k, solo he visto maistros bien curtidos cargando de a 1 en el hombro y apoyado en la cintura. Esta mo\xe2\x80\xa6 https://t.co/1UusS3Dnb5'"
1236684122799640579,2020-03-08 16:04:06,b'@nocontextfooty Se mamaron cont\xc3\xa9 11 palmas en media cancha m\xc3\xa1s 11 jugadores y as\xc3\xad meten goles.. esos deber\xc3\xa1n estar jugando en @Rayados'
1236663065191555072,2020-03-08 14:40:25,b'koyaanisqatsi - Pruit Igoe https://t.co/TrcM85Lk7P'
1235414829529169920,2020-03-05 04:00:22,"b'Una peque\xc3\xb1a parte del mundo de la m\xc3\xbasica minimalista, redescubriendo Koyaanisqatsi 1982 2 de 2\nhttps://t.co/2s30Nemjzg'"
1235414675543621633,2020-03-05 03:59:46,"b'Una peque\xc3\xb1a parte del mundo de la m\xc3\xbasica minimalista, redescubriendo Koyaanisqatsi 1982 1 de 2\nhttps://t.co/Gf3DTWJECJ'"
1235414558266789888,2020-03-05 03:59:18,b'Koyaanisqatsi 1982 Full Movie\nhttps://t.co/t5SRnbFZwv'
1234460669065531392,2020-03-02 12:48:53,b'RT @GAMEZMARIO: Con la llegada del #coronavirus a #Mexico se deber\xc3\xadan prohibir los eventos masivos y/o donde haya conglomeraci\xc3\xb3n de persona\xe2\x80\xa6'
1234232522072035328,2020-03-01 21:42:18,"b'@Alberto91634131 @Rayados Se les debe exigir siempre, no nom\xc3\xa1s cuando quieren jugar bien.'"
1234231562989903879,2020-03-01 21:38:30,b'\xf0\x9f\x8e\xbc\xf0\x9f\x90\xaf\xf0\x9f\x8e\xbc\xf0\x9f\xa7\x94\xf0\x9f\x8f\xbb\xf0\x9f\x8e\xbc https://t.co/h2pigA7mUk'
1234230868392251392,2020-03-01 21:35:44,b'RT @RayadosInterna1: El sue\xc3\xb1o de todas las mamis y t\xc3\xadas 90eras rayadas \nCamisa # 17 https://t.co/iAxKw6SBPA'
1234228662775558156,2020-03-01 21:26:58,b'@fuckensio_ @ivanlopez22 @luigibianconero @AsiEsMonterrey @10APG Ni c\xc3\xb3mo le gan\xc3\xa9 ah\xc3\xad el pig\xc3\xb1ac'
1234183314145234946,2020-03-01 18:26:46,b'https://t.co/lcgkp31pIg'
1234176772821995520,2020-03-01 18:00:47,b'https://t.co/mvIeu6r0yG'
1234176634795823104,2020-03-01 18:00:14,b'https://t.co/DBbjRXCtHB'
1232790657279893511,2020-02-26 22:12:51,b'NISSAN TIIDA COLOR ARENA \n\xe2\x80\x9809 STD C/C 230K-KM FACT. ORIGINAL/TODO PAGADO $63K MXN https://t.co/EMhlzdDxgt'
1231966104014053376,2020-02-24 15:36:22,b'RT @GAMEZMARIO: El 9 de Marzo se est\xc3\xa1 convocando a un #ParoNacionalDeMujeres'
1231668226335137792,2020-02-23 19:52:43,b'https://t.co/pjtwQay3v5'
1231668113034371073,2020-02-23 19:52:16,b'https://t.co/x8iYKfufiE'
1231668056755261441,2020-02-23 19:52:02,b'https://t.co/IiMZbQ4KuN'
1231458931970576385,2020-02-23 06:01:03,"b'@Tio_rayado11 @Rsescamilla @santiago4kd @Rayados As\xc3\xad es, no tiene huevos'"
1231452562462838784,2020-02-23 05:35:44,b'@jessleal7 Complicadisimo'
1231449748160286720,2020-02-23 05:24:33,b'@RosalesM21 @Rayados Animo ya ser\xc3\xa1 la otra temporada'
1231239705557028864,2020-02-22 15:29:55,b'@VergaraYorch A Palafox ya la sigo pero no encuentro la de Ju\xc3\xa1rez ni la de rayas celestes.. como las ubic\xc3\xb3?'
1230868248230596609,2020-02-21 14:53:53,"b'Ser\xc3\xada buena idea que el congreso del estado establezca encuestas en Twitter antes de dar por hecho alg\xc3\xban tema, al m\xe2\x80\xa6 https://t.co/BpWJI3tqzf'"
1230864562435563520,2020-02-21 14:39:14,b'@0ddman @OvalleDidier @Rodolfomaquinas @YisuscristViral @SoloHazRT ajaja peruanos!'
1230853010919710720,2020-02-21 13:53:20,b'@0ddman @OvalleDidier @Rodolfomaquinas @YisuscristViral @SoloHazRT No veo una pipa de riego pero si un diminuto cho\xe2\x80\xa6 https://t.co/q7u9EnY2Fe'
1230851748073476099,2020-02-21 13:48:19,b'@0ddman @OvalleDidier @Rodolfomaquinas @YisuscristViral @SoloHazRT Falta explicar el resto de los factores por el c\xe2\x80\xa6 https://t.co/DDVnnFwcUx'
1230851019673939969,2020-02-21 13:45:25,b'@0ddman @OvalleDidier @Rodolfomaquinas @YisuscristViral @SoloHazRT Claro que es factible\n1. John Deere 8370R distan\xe2\x80\xa6 https://t.co/OCppix7l6c'
1230812337482936321,2020-02-21 11:11:43,"b'@Chelocool @YisuscristViral @extinguiendonos Si, sofoca el fuego con otro fuego, fuego vs fuego \xf0\x9f\x94\xa5 \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd'"
1230812010780254210,2020-02-21 11:10:25,"b'@OvalleDidier @Rodolfomaquinas @YisuscristViral @SoloHazRT Pues corta pero lo que corta se@queda ah\xc3\xad, eso es una bu\xe2\x80\xa6 https://t.co/nG6h1oXXrg'"
1230480179241332736,2020-02-20 13:11:50,b'@GAMEZMARIO @nuevoleon @CongresoNL @annyavanezza'
1230480042867806208,2020-02-20 13:11:18,b'RT @GAMEZMARIO: En caso de contingencia ambiental se aplicar\xc3\xa1 en @nuevoleon el \xe2\x80\x9cHoy no circula\xe2\x80\x9d (as\xc3\xad lo aprob\xc3\xb3 el @CongresoNL )'
1230338458012602368,2020-02-20 03:48:41,b'@LAadiccionCFM  alguien quien me pase un correo? O donde les puedo enviar mensaje privado? Saludos.'
1229733625438121984,2020-02-18 11:45:18,b'@fuckensio_ @Jazzfraan @vr109 @zaidelozano Tu representas al patriarcado o como?'
1229416480116224005,2020-02-17 14:45:04,"b'@valeriajarato @dw_espanol Quien sabe, creo q debe haber muchas carencias'"
1229101897006616576,2020-02-16 17:55:02,"b'@SancadillaNorte Y seguir\xc3\xa1n sin identidad. Hace muchos a\xc3\xb1os exist\xc3\xada una ETNIA coahuilteca, ten\xc3\xadan la costumbre de t\xe2\x80\xa6 https://t.co/kZiLCymht5'"
