id,created_at,text
499528087881928704,2014-08-13 12:09:11,b'RT @TV2Wikestad: Jeg er stor fan av Alberto Moreno. Tror han er verdt ventetiden. Kommer til \xc3\xa5 bli en hit under Brendan Rodgers #2pl'
493836955340537856,2014-07-28 19:14:39,"b'RT @TV2langli: Liverpool kan stille med ligaens raskeste angrepsrekke. Sterling, Sturridge og Markovic. Speed.'"
437484688287223808,2014-02-23 07:10:52,b'RT @OeysteinP: I hope I never see you again Durr!'
437150385938391040,2014-02-22 09:02:28,b'RT @siljeaarseth: Savner gjengen vi var p\xc3\xa5 ungdomsskolen'
435725139800760320,2014-02-18 10:39:03,"b'Heier p\xc3\xa5 Bj\xc3\xb8rndalen, legende'"
434696986076647425,2014-02-15 14:33:32,b'RT @Antonio_nilsen: Det var tider det http://t.co/zyMaSWRM9s'
433728633069654016,2014-02-12 22:25:39,"b'RT @JoachimJahren: N\xc3\xa5r enden er god, er allting godt! God natt r\xc3\xb8de venner. #YNWA'"
432920918583963648,2014-02-10 16:56:04,b'RT @Haukemat: Yup http://t.co/zUydsklFm3'
432920836522405888,2014-02-10 16:55:45,b'RT @Susannetjernes: det sier seg selv at skoledagen er for lang n\xc3\xa5r man er hjemme 16:30:-('
432910200744706048,2014-02-10 16:13:29,b'OL p\xc3\xa5 tv2: reklame hvert femte minutt'
432506764920389632,2014-02-09 13:30:23,"b'RT @Kvalshaug: ""Hvor var du da Norge tok OL-gull 2014?""  ""Midt i en reklame fra Elkj\xc3\xb8p""'"
432459505562300416,2014-02-09 10:22:35,b'Tv2 \xc3\xb8delegger OL'
432144434944540672,2014-02-08 13:30:36,b'RT @TV2langli: Se p\xc3\xa5 Liverpool.'
431410260646301696,2014-02-06 12:53:16,b'RT @SportHumour: The best skill move of all time! Take a bow Danny Welbeck! https://t.co/XzCoxo2VOC'
427914823599669250,2014-01-27 21:23:38,"b'RT @Underskuddet: Hahahah, denne m\xc3\xa5 dere bare se!\nhttp://t.co/PK22mmlayQ'"
426794808662036480,2014-01-24 19:13:06,b'@BenedikteOlsen1 Marcus \xf0\x9f\x98\x8f\xf0\x9f\x98\x8f'
423179566887501824,2014-01-14 19:47:25,b'RT @SportHumour: Steven Gerrard takes out Stoke\xe2\x80\x99s John Walters https://t.co/tZdHnDrnsX'
421393860859011072,2014-01-09 21:31:40,b'RT @AskarAmin: Fantastiske \xc3\x98zil ble k\xc3\xa5ret til \xc3\xa5rets tyske spiller for tredje \xc3\xa5ret p\xc3\xa5 rad\nTipper han s\xc3\xa5 (\xf0\x9f\x91\x80) det komme http://t.co/5YkzE0zYFO'
419839705744949248,2014-01-05 14:36:00,b'Northug er best uansett'
419444828968325120,2014-01-04 12:26:54,"b'RT @OeysteinP: Tomas leser at han m\xc3\xa5 feire jul alene, ettersom resten av familien reiser til h\xc3\xb8yden.Han f\xc3\xa5r feire med meg. #makan:) http://\xe2\x80\xa6'"
418771977571426304,2014-01-02 15:53:14,b'RT @Lippert98: Noen ganger er livet som skil\xc3\xb8per veldig smertefullt... #kaldtp\xc3\xa5tissen #regn #vind #neglspreng #intervaller #rullskisk\xc3\xb8yting\xe2\x80\xa6'
418464683733946369,2014-01-01 19:32:09,b'@berdal97 HAHAHAHAH'
418429548607180800,2014-01-01 17:12:33,"b'RT @TSBible: Torres is on fire, scored in every game so far this year!!'"
418271657690542080,2014-01-01 06:45:08,b'RT @TV2Wikestad: 2014 startet tidlig. Godt nytt\xc3\xa5r! #2pl'
418114456107745280,2013-12-31 20:20:29,"b'RT @JCarew10: Ja du ska f\xc3\xa5 treffe Eva @PetterNorthug1 , men OL f\xc3\xb8rst , s\xc3\xa5 Eva etterp\xc3\xa5 ;) http://t.co/6CbdaL82Yy'"
417694915213025280,2013-12-30 16:33:22,"b'RT @Oppkast: Twitter, kampen om \xc3\xa5 ha det verst.'"
417372064085852161,2013-12-29 19:10:29,"b'RT @Snrree: Gratulerer, du har nok jobbet veldig hardt http://t.co/3mccJmUJM2'"
417353258185674753,2013-12-29 17:55:45,b'RT @TV2langli: Alt er lov mot Suarez.'
416265053243834368,2013-12-26 17:51:37,b'RT @TV2langli: 3 meter onside. Forferdelig d\xc3\xb8mming.'
413246772648353792,2013-12-18 09:58:03,b'RT @TV2langli: Er Joe Allen egentlig bedre enn folk tror? Alltid hatt sansen for han. F\xc3\xa5r vi en rekke med kamper p\xc3\xa5 niv\xc3\xa5 med den mot Spurs?'
413062836857077760,2013-12-17 21:47:09,b'RT @TV2langli: Borini 1-1.'
411790446252523520,2013-12-14 09:31:07,b'RT @OeysteinP: Snakker vi pallen p\xc3\xa5 Simen A. Sveen idag? Uansett imponerende renn!'
410828193189601280,2013-12-11 17:47:28,b'RT @VidarAndersson: Hun vi alle trodde var en gutt http://t.co/1zQPRJjjyC'
410822862183084032,2013-12-11 17:26:17,b'RT @larsbjerkee: Retweet hvis du ogs\xc3\xa5 sang teksten p\xc3\xa5 9 to 5'
408325876829650945,2013-12-04 20:04:10,b'Jeg elsker deg suarez \xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4'
407594521170804736,2013-12-02 19:38:01,b'RT @Mulatt1: \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8fDen unge Fleksnes\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
406319343975157760,2013-11-29 07:10:55,b'@Dani3lFR ikke ofte han sk\xc3\xa5rer m\xc3\xa5l heller :)'
405726079392186368,2013-11-27 15:53:30,b'@HkonVaglen \xf0\x9f\x92\x95\xf0\x9f\x92\x95'
405726066779910144,2013-11-27 15:53:27,b'RT @HkonVaglen: @siguurd97 du gj\xc3\xb8r kondomdressgutta innafor \xf0\x9f\x98\x9a'
405724950054850560,2013-11-27 15:49:00,b'@HkonVaglen skigutt?'
405724885261246464,2013-11-27 15:48:45,"b'RT @HkonVaglen: Hockeygutter og fotballgutter, elsker begge deler\xf0\x9f\x92\x95\xf0\x9f\x92\x95'"
405416466029502464,2013-11-26 19:23:12,b'RT @SportHumour: Happy birthday Xabi Alonso http://t.co/yzrdhWPrPp'
403233798588203008,2013-11-20 18:50:03,b'RT @BRahhaoui: @JuliaArnesen1 du suger du og :)))))'
402801267317411840,2013-11-19 14:11:20,b'RT @Mulatt1: Orker ingenting etter at jeg begynte p\xc3\xa5 vgs'
399945386238169088,2013-11-11 17:03:05,b'RT @SportHumour: Luis Su\xc3\xa1rez. http://t.co/saNSyLsiOs'
398533490071064576,2013-11-07 19:32:43,b'RT @katrinedahle: Ska s\xc3\xa5 j\xc3\xa6vlig p\xc3\xa5 kino \xc3\xa5 se fl\xc3\xa5klypa!'
397457002785685505,2013-11-04 20:15:08,b'@Mulatt1 du lekte deg \xf0\x9f\x98\x89'
397456940852580352,2013-11-04 20:14:53,b'@Mulatt1 stjerna!!'
395868198505316352,2013-10-31 11:01:48,b'RT @Joacim_Jonsson: Adeccolaget 4-2-3-1:\nNoring--Binda-Sane-Jalasto-Addo--Adaramola-Idris--Aas-Ndiaye-\xc3\x85sen--Ibba.'
395278572325462016,2013-10-29 19:58:50,b'RT @HkonWernerVyrje: Alt for travelt for tida'
394908068540350464,2013-10-28 19:26:35,"b'Selvom Liverpool gj\xc3\xb8r det bra om dagen, savner jeg Daniel Agger p\xc3\xa5 banen..'"
394525319501463552,2013-10-27 18:05:40,b'Tottenham sk\xc3\xa5rer bare p\xc3\xa5 billige straffer.'
394179886774222848,2013-10-26 19:13:03,b'Stolt over \xc3\xa5 heie p\xc3\xa5 Liverpool'
394178677472509952,2013-10-26 19:08:14,b'RT @lat_sabben: Ynwa!'
394178491073445888,2013-10-26 19:07:30,b'RT @superbriten: For en spiller Luis Suarez er!'
394039433420619776,2013-10-26 09:54:56,"b'RT @AhmedAbdi24: I hate it when parents ask me to do something, but then criticize how I do it.. #TFB #F4F'"
