id,created_at,text
1238509518075633664,2020-03-13 16:57:34,"b'RT @OfficialLivePD: PRIME SUSPECT: Keep the heat on Isaiah Murchison #LivePDNation, RETWEET and call in any tips you may have to 202-727-90\xe2\x80\xa6'"
1237419958621134849,2020-03-10 16:48:02,"b""RT @Joelxclusive: It pays to be honest..if this video doesn't teach you that, I don't know what will\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f..Just watch\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/hwnnYP\xe2\x80\xa6"""
1235313877589647360,2020-03-04 21:19:14,"b""My favorite @whiteclaw flavor is #BlackCherry. What's yours? #WhiteClawFlavors"""
1190340404497068032,2019-11-01 18:50:42,b'OMG!!! We got thru ... waited in que for an hr! But our girl got her palette!! \xf0\x9f\xa5\xb0\xf0\x9f\xa4\xa9\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\n#makeupqueen\xe2\x80\xa6 https://t.co/GbsZwErya9'
1187044999353028608,2019-10-23 16:35:56,"b'RT @MDA_Advocacy: Thanks to @RareDiseases for hosting @MDAorg\xe2\x80\x99s Kristin Stephenson, Chief Advocacy &amp; Care Services Officer, to speak w othe\xe2\x80\xa6'"
1177085270312837121,2019-09-26 04:59:32,b'@MaskedSingerFOX #icecreammask is @LoganPaul or @jakepaul'
1177067233144639489,2019-09-26 03:47:51,b'@JennyMcCarthy @robdyrdek'
1177067063132729344,2019-09-26 03:47:11,b'#theegg in @MaskedSingerFOX is @robdyrdek'
1172177890177441793,2019-09-12 15:59:21,"b'RT @ATTTHANKS: Grab a cup of coffee and get ready to sit on the iconic FRIENDS couch, right in your home. Retweet for a chance to win an ex\xe2\x80\xa6'"
1172176006364442624,2019-09-12 15:51:52,"b'I just entered FRIENDS 25th $25,000 Sweepstakes on TBS &amp; you can too. Watch weekdays on TBS through September 27th\xe2\x80\xa6 https://t.co/BqeeedhvoE'"
1158923858210148353,2019-08-07 02:12:34,b'#ImWithMaryse \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xe2\x99\xa5\xef\xb8\x8f'
1158904692526735360,2019-08-07 00:56:24,b'#curesma #smaawarenessmonth #august #adventuresofsmawarriortaylor #thisissma #smafacts https://t.co/gwZV5cUPpP'
1157110292935041026,2019-08-02 02:06:06,b'#smaawarenessmonth #august #curesma #adventuresofsmawarriortaylor #NewProfilePic https://t.co/nipZccQCNf'
1151964521935855629,2019-07-18 21:18:39,b'RT @Terminator: Welcome to the day after Judgment Day. Producer James Cameron returns with director Tim Miller for #TerminatorDarkFate. In\xe2\x80\xa6'
1151963194375778309,2019-07-18 21:13:22,b'Tom Cruise unveils the Top Gun: Maverick trailer at Comic-Con  https://t.co/WoknbZRbms'
1137553986331058176,2019-06-09 02:56:19,b'RT @LivePdBlueLine: Ok #LivePdNation his name says it all but his follower count does not. \n\nLet\xe2\x80\x99s get this \xe2\x80\x9cCute\xe2\x80\x9d man from #EastProvidence\xe2\x80\xa6'
1125501581468868609,2019-05-06 20:44:22,b'#mayismelanomawarenessmonth \n#skincancerawareness #Survivor #checkyoself #getnaked https://t.co/3NOwUmNZgf'
1125500843858563072,2019-05-06 20:41:26,b'\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f https://t.co/3Q5c6y26TC'
1125500579646775296,2019-05-06 20:40:23,b'#ChrisFarley was srly the #funniestguyever #trulymissed https://t.co/0djEr0SLN2'
1125497720083554306,2019-05-06 20:29:01,b'\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\n The series finale of Friends aired 15 years ago  https://t.co/YXxxPZ7TCP'
1102770168965550080,2019-03-05 03:17:51,"b'RT @LivePDNation: Fire fighter, Cody Mooney, 31, was escorted to donate organs after losing his courageous battle against a brain tumor. He\xe2\x80\xa6'"
1086839618836807681,2019-01-20 04:15:32,b'@PascoSheriff Yogi'
1080531690244767744,2019-01-02 18:30:04,b'I love this site! https://t.co/NTTl4Cl0RZ'
1080180904495067136,2019-01-01 19:16:11,b'One last ride for all the roses \xf0\x9f\x8c\xb9#GoBucks #WinTheMoment'
1078098238400548864,2018-12-27 01:20:24,b'RT @NKOTB: Only one week out from New Year\xe2\x80\x99s #RockinEve! Are you ready?! Catch us in Times Square at 8/7c on @ABCNetwork! https://t.co/l8V6\xe2\x80\xa6'
1078098069957283845,2018-12-27 01:19:44,b'https://t.co/j928kWUcwZ'
1076393550785454081,2018-12-22 08:26:35,b'https://t.co/76y8lHmrFf'
1067893609180143618,2018-11-28 21:30:51,b'RT @PTXofficial: EXCITING ANNOUNCEMENT! \xf0\x9f\x93\xba\xf0\x9f\x8e\x84 We are SO THRILLED to share the news that we\xe2\x80\x99ll be back again with a BRAND NEW CHRISTMAS SPECIAL\xe2\x80\xa6'
