id,created_at,text
1241861530704109640,2020-03-22 22:57:16,b'RT @elonmusk: Coachella should postpone itself until it stops sucking'
1237515058915115008,2020-03-10 23:05:56,b'@Milkysaurus @Ohmwrecker Fr tho'
1237514512720220160,2020-03-10 23:03:46,b'@Ohmwrecker I would wish for unlimited genies\xf0\x9f\x91\x8c'
1236526631457566720,2020-03-08 05:38:17,b'RT @McCreamy: Perks of being a youtuber:\n\n1. Money\n2. Clout\n3. Crippling anxiety and depression and sadness and stress and wow this job suc\xe2\x80\xa6'
1236395437201989633,2020-03-07 20:56:58,b'RT @Jack_Septic_Eye: Who wants a free one? RT this tweet + follow @youtooz and I\xe2\x80\x99ll pick a few people next week https://t.co/ZaQxWwTcsd'
1232057884227330048,2020-02-24 21:41:04,"b'RT @kamikazeminem: Eminem is the most awarded male artist alive, in history. https://t.co/5zKaYl5y83'"
1231793205529759746,2020-02-24 04:09:20,b'RT @DaBabyDaBaby: Fun Fact \xf0\x9f\x92\xa1 https://t.co/NcNyRVH5Tz'
1231793074331901953,2020-02-24 04:08:49,b'RT @MiniLaddd: Man @bbnomula is slept on https://t.co/NdhTnVzkIi'
1231792899173634048,2020-02-24 04:08:07,b'RT @Shadyinfo: how old were you when Eminem released his major debut album \xe2\x80\x9cThe Slim Shady LP\xe2\x80\x9d ? https://t.co/GdWhUlEoMp'
1231792849055694849,2020-02-24 04:07:55,b'RT @OfficialKngSavv: @LilNasX get me right fam. $OfficialKngSavv https://t.co/fKdQk1jGJH'
1231792801463066624,2020-02-24 04:07:44,b'RT @LilNasX: i want what they have https://t.co/lVrcfhhtyw'
1231792730323505152,2020-02-24 04:07:27,b'RT @MrBeastYT: He has returned to us \xf0\x9f\x98\x8d https://t.co/BNTTIpDVTQ'
1231792701458255874,2020-02-24 04:07:20,b'RT @linzasaur: Pewds reads Insider! https://t.co/iRudl28Nv4'
1231792673104809984,2020-02-24 04:07:13,"b'RT @DaBabyDaBaby: I should stop rapping and write a book, I know some shit. \xf0\x9f\x98\x82'"
1231792386130563073,2020-02-24 04:06:05,b'RT @brittishbeaf: Me sneaking onto A with the bomb in my mouth https://t.co/8RAXq4MqBL'
1231792051878006785,2020-02-24 04:04:45,b'RT @KimKardashian: OMG wow!!!!'
1231791307774976003,2020-02-24 04:01:48,b'RT @mcgeehehe: THE WAY THEY R HYPING HER UP I can\xe2\x80\x99t BREATHEEEE BUT THEY DID NOT LIE ISABELLE POPPED OFF https://t.co/vFnOZhM6gz'
1231791157933477888,2020-02-24 04:01:12,"b'RT @PrettyPash09: Iight imma be quiet, but when he leave. Imma be talking again. \xf0\x9f\xa4\xa3 @DaBabyDaBaby https://t.co/XEWXtstlom'"
1231790939947098112,2020-02-24 04:00:20,b'RT @Polo_Capalot: Rip Pop smoke We was Just in the booth...Condolences To his Family\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x96\xa4'
1231790626334814208,2020-02-24 03:59:05,b'RT @roomieofficial: Why arentt more people talking about this https://t.co/huKewGa5si'
1231790410814631936,2020-02-24 03:58:14,b'RT @Chromez_: This took 2 hours... \xf0\x9f\xa5\xb1 https://t.co/Juq8o2A2wJ'
