id,created_at,text
1187219547931189248,2019-10-24 04:09:32,"b'Still feels like a bad dream, that I have yet to wake up from.'"
1166489376874016768,2019-08-27 23:15:14,b'@MadisonAtkinso3 I miss you\xf0\x9f\x98\xa9 and when we move into the new house come over any time!!!!'
1144662601227493377,2019-06-28 17:43:25,b'@MadisonAtkinso3 Yeasss I\xe2\x80\x99m down'
1144646090194661377,2019-06-28 16:37:49,"b'@MadisonAtkinso3 Move into the country, so glad to be out of city limits'"
1144645887693590528,2019-06-28 16:37:00,"b'Is it just me or does anyone else when they walk around in their hometown or any other town, look for strays, because I do\xf0\x9f\x98\x82\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'"
1142448084309499904,2019-06-22 15:03:43,b'I can\xe2\x80\x99t believe this happened I wish I can wake up and realize it was just a bad dream. Please please I can\xe2\x80\x99t handle this\xf0\x9f\x98\xad'
1142116046138224640,2019-06-21 17:04:19,b'I called Cj and asked you coming to lunch?\nCj- yes \nMe- well where you at\nCj- at the computer \nMe- are you looking\xe2\x80\xa6 https://t.co/5tI7Hx9B7v'
1137117001699201024,2019-06-07 21:59:54,b'@MadisonAtkinso3 Get rid of your dogs\xf0\x9f\x98\x89'
1137116723990224897,2019-06-07 21:58:48,b'@MadisonAtkinso3 Don\xe2\x80\x99t judge me\xf0\x9f\x98\x82 jkjk'
1135886277516156928,2019-06-04 12:29:26,b'You know normal people usually pull over when they hear sirens from a emergency vehicle. Not Cj he heard sirens and takes off\xf0\x9f\x98\x85'
1126142281483001862,2019-05-08 15:10:17,b'@MadisonAtkinso3 Well you haven\xe2\x80\x99t added me back\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1124300388474208258,2019-05-03 13:11:15,b'@MadisonAtkinso3 Let\xe2\x80\x99s go tornado chasing\xf0\x9f\x98\x89\xf0\x9f\x98\x82'
1120870251376324608,2019-04-24 02:01:07,"b'RT @RenoCoSheriff: One person flown to Wichita by Eagle Med, one more to Wichita by Ambulance and at least 2 others taken to Hutchinson ER.\xe2\x80\xa6'"
1104783883285991424,2019-03-10 16:39:38,b'@MadisonAtkinso3 No fuck you\xf0\x9f\x98\x9d'
1102698521130688512,2019-03-04 22:33:09,b'Oh I hope this all works out\xf0\x9f\x98\xab\xf0\x9f\xa4\x9e'
1102312635272441857,2019-03-03 20:59:46,b'Me: Madison what is Obama last name?\nMadison: I don\xe2\x80\x99t know his last name is it Barack\nMe:  No it\xe2\x80\x99s Obama\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1100757497663631360,2019-02-27 14:00:13,b'I really want to rewatch vampire diaries again\xf0\x9f\x98\x88'
1096801760377741313,2019-02-16 16:01:31,b'@MadisonAtkinso3 \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1096801598267904000,2019-02-16 16:00:53,b'@MadisonAtkinso3 I think their like 20$ for a 12 pack of them at GNC'
1095553039195353089,2019-02-13 05:19:33,"b'Karma is a bitch, you just wait\xf0\x9f\x98\x8c'"
1092318279404797952,2019-02-04 07:05:46,"b""Cause your boyfriend's a bitch\nHe ain't shit, he can suck on my dick\nI ain't with all that shit\nWhy he do you like this\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f"""
1086717037479714816,2019-01-19 20:08:26,b'I deliver with @Uber to make money on my own schedule &amp; you can too. Use my link and you could qualify for $100 gua\xe2\x80\xa6 https://t.co/AXDjNzRR78'
1086094028398043136,2019-01-18 02:52:49,b'@MadisonAtkinso3 But true'
1086094012602347521,2019-01-18 02:52:45,b'@MadisonAtkinso3 \xf0\x9f\x96\x95\xf0\x9f\x8f\xbc'
1086032422972596224,2019-01-17 22:48:01,"b'RT @RenoCoSheriff: Help us hit 3,000! Coin give away!  #freebies We are trying to grow our page and reach even more people!  To qualify you\xe2\x80\xa6'"
1082322460601737216,2019-01-07 17:05:57,b'@nudist @MadisonAtkinso3 @kdm_ego_buster'
1081584442832052224,2019-01-05 16:13:20,"b'@morgatkin It\xe2\x80\x99s some black kid from buhler he talks so much shit on everybody and their cars, but in reality he is\xe2\x80\xa6 https://t.co/wEGe4Y0C5t'"
1081583944489938947,2019-01-05 16:11:21,b'@MadisonAtkinso3 \xf0\x9f\x96\x95\xf0\x9f\x8f\xbc'
1081583603501420544,2019-01-05 16:10:00,b'@morgatkin What kind and color'
1081583140647456769,2019-01-05 16:08:10,"b'Screw this virus I had it then my sister and now Cj, literally the worst one I by far ever had, it\xe2\x80\x99s so painful'"
1080857450809606144,2019-01-03 16:04:32,"b'Throwing up all night, in and out of the bathroom every 5min, no sleep, yep already know what this day is going to be like\xf0\x9f\x98\xab'"
1080302425985220608,2019-01-02 03:19:04,"b'@MadisonAtkinso3 I eat so many things a pregnant lady will eat, and I ain\xe2\x80\x99t got nothing in my tummy'"
1080299710185902081,2019-01-02 03:08:16,"b'@MadisonAtkinso3 Pickels and sugar are my life, doesn\xe2\x80\x99t mean I\xe2\x80\x99m pregnant'"
1079557688282005504,2018-12-31 01:59:44,b'@little_memo1985 @MadisonAtkinso3 Pussy won\xe2\x80\x99t'
1079557193500934144,2018-12-31 01:57:46,b'@little_memo1985 @MadisonAtkinso3 Better not or your head is next'
1079556963577618433,2018-12-31 01:56:51,b'@MadisonAtkinso3 Well hurry up'
1079556902147756032,2018-12-31 01:56:37,b'@MadisonAtkinso3 Sometimes'
1079556739232681984,2018-12-31 01:55:58,b'@MadisonAtkinso3 Fuccckkkk youuuuu'
1079556635574657024,2018-12-31 01:55:33,b'@MadisonAtkinso3 @little_memo1985 I\xe2\x80\x99m so confused on what \xe2\x80\x9cthat thing\xe2\x80\x9d is'
1079551914151415815,2018-12-31 01:36:48,b'@little_memo1985 @MadisonAtkinso3 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82burn mother fucker\xf0\x9f\x98\x82I have some ice for you if you need it'
1079551063588589570,2018-12-31 01:33:25,b'@MadisonAtkinso3 @little_memo1985 TMI TMI\xf0\x9f\x98\xab\xf0\x9f\x98\x82'
1079550653654073344,2018-12-31 01:31:47,b'@MadisonAtkinso3 @little_memo1985'
1079550502491312134,2018-12-31 01:31:11,"b'@MadisonAtkinso3 We got tacos together, she can have your taco later\xf0\x9f\x98\x82'"
1079444968383696896,2018-12-30 18:31:50,b'@MadisonAtkinso3 I was going to say come over but I forgot your working'
1078014935278518273,2018-12-26 19:49:23,b'@MadisonAtkinso3 But you go to work at 530 and half to suffer with me so ha\xf0\x9f\x98\x82'
1077997556855160832,2018-12-26 18:40:20,b'Just wanna be off work and be at home cuddling the love of my life\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\xab'
1077778176129073158,2018-12-26 04:08:35,"b'RT @MF_Brown: And now, a video of a person trying to put gas in a Tesla https://t.co/TXz4xkCKUL'"
1077757826620162054,2018-12-26 02:47:44,b'@peanutap He likes all of you!!'
1076970192150953989,2018-12-23 22:37:57,b'RT @_Latishhaaaa: This shit has me in actual tears right now \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad I cannot deal lmfao \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x92\x80 https://t.co/djKsMs4Z0w'
1076934574599561217,2018-12-23 20:16:25,b'Me- do you wanna open presents tommorow or Christmas Day                     Cj- Christmas Day\xe2\x80\xa6 https://t.co/KbkuyZWFkA'
1076213919524536320,2018-12-21 20:32:48,"b'@MadisonAtkinso3 Haha hell yea, ima play deer hunter 2018 on my phone until you get back so I\xe2\x80\x99ll keep my mouth shut'"
1076213568968818694,2018-12-21 20:31:24,b'@MadisonAtkinso3 Hell yea we do\xf0\x9f\x98\x82nothing can stop us'
1076213240823271424,2018-12-21 20:30:06,b'@MadisonAtkinso3 I said do it lmao\xf0\x9f\x98\x82'
1075969408940544000,2018-12-21 04:21:12,b'RT @Alycia101Serna: Lol to when my bf thought flying a tube would be a great idea. https://t.co/yRggoIUFSx'
1075863979665383424,2018-12-20 21:22:15,b'Everything is coming together all at once right now and I could not be any happier at this moment\xf0\x9f\x98\x8a'
1073316323613179906,2018-12-13 20:38:47,b'@MadisonAtkinso3 Fucking same'
1070477950812868609,2018-12-06 00:40:06,b'@MadisonAtkinso3 Make me\xf0\x9f\x98\x82'
1070456369285865472,2018-12-05 23:14:21,b'@MadisonAtkinso3 Sorry I\xe2\x80\x99m a wild child\xf0\x9f\x98\x82'
