id,created_at,text
1226669450818048000,2020-02-10 00:49:22,b'RT @NWSReno: Kirkwood now gusting 209 MPH!  This could potentially be a new California state record wind speed if verified!'
1224184617223122944,2020-02-03 04:15:31,b'RT @JIMrichards1010: \xf0\x9f\x90\x95  \xf0\x9f\x9b\xb7https://t.co/QRr2JHrmCP'
1224181300430376960,2020-02-03 04:02:20,"b'RT @DrTCJ: Top Apartment Rent Increase 2010-2019\nPercent Change - Metro - 2019 Median Rent\n1 of 2\n\n39% Orlando $1,409\n39% Reno $1,627\n38% S\xe2\x80\xa6'"
1224173635490828289,2020-02-03 03:31:53,b'RT @49ersSportsTalk: That was one of the worst officiated Super Bowl\xe2\x80\x99s I\xe2\x80\x99ve ever seen... WTF refs!  Love my team. #GoNiners\n\n#49ers #Niners\xe2\x80\xa6'
1224173397795471360,2020-02-03 03:30:56,b'RT @Kingcold_V: @49ers We got cheated. Refs couldn\xe2\x80\x99t see anything the chiefs did but everything the 49ers did'
1200932845004279809,2019-12-01 00:21:17,"b""RT @rgj: Jeremy Renner surprises Reno's homeless, helps Thanksgiving volunteers https://t.co/qD8R8U8c6V"""
1085543409840840705,2019-01-16 14:24:51,"b'RT @Complex: this commercial is wild \xf0\x9f\x98\x82 my guy said he wants to be addicted to roller skating, not crack \n\nhttps://t.co/wgGL3x93eF'"
1085427519711576064,2019-01-16 06:44:21,b'RT @CBSSportsNet: CODY MARTIN ARE YOU SERIOUS.\nNevada takes the lead with under five seconds to go. https://t.co/h4JbM6LEGw'
1077385842740539392,2018-12-25 02:09:36,"b'I\'m playing live game shows on HQ! You should play too. Use my code ""laughandplay"" to sign up\xe2\x80\xa6 https://t.co/1VB9iLGIHJ'"
1049415198291968000,2018-10-08 21:44:15,b'We should be awesome let me know'
1041012499187822592,2018-09-15 17:14:55,"b'RT @FatherlyHQ: Phone-Free Parenting is Great, In Theory\xe2\x80\xa6 https://t.co/uFXlKB8Gwz'"
1015328243690295296,2018-07-06 20:14:51,b'RT @DrTCJ: 1 in 5 credit card users (43 million Americans) that carry a balance (typically paying the monthly minimum) think the balance he\xe2\x80\xa6'
1006032223504482304,2018-06-11 04:35:47,b'RT @DrTCJ: Top Job Growth MSAs 12-Months Ending April 2018\n\n11.60% Midland TX\n5.96% Odessa TX\n5.36% Elkhart-Goshen IN\n5.13% Walla Walla WA\xe2\x80\xa6'
1004400541852565505,2018-06-06 16:32:04,"b'RT @DrTCJ: For Younger Followers . Do Not Count on Social Security.  For the 1st time in 36 years (since 1982), Social Security had to dip\xe2\x80\xa6'"
