id,created_at,text
1239310406767673345,2020-03-15 22:00:00,"b""If you don't hear from me, it's because I'm on TikTok trying to learn the dance to #Supalonely by @BENEEMUSIC."""
1239295304286912512,2020-03-15 21:00:00,"b""Currently on rotation: @DonToliver's entire new album, #HeavenOrHell. https://t.co/xOrOZFrWQg"""
1239280204817870848,2020-03-15 20:00:00,"b""I really WISH I could sit next to the cast of @netflix's @OnMyBlock at the lunch table!!!! \xf0\x9f\x98\xa9\xf0\x9f\x92\x95 https://t.co/iN785obLi7"""
1239265105499631616,2020-03-15 19:00:00,"b""You can't NOT smile if @Jordan_Fisher is smiling!! It's a scientific fact!! https://t.co/mEhPKkuFyK"""
1239250007628234752,2020-03-15 18:00:00,"b"".@2PAC dropped #MeAgainstTheWorld 25 years ago this weekend, and in honor, we're throwing it back to his 1995 inter\xe2\x80\xa6 https://t.co/hpTKhbHLnR"""
1239234906338635785,2020-03-15 17:00:00,"b""It's #HeartbreakWeather all year 'round, so I present: @NiallOfficial as THE SEASONS: https://t.co/zBNLnxiI55"""
1239223305422409729,2020-03-15 16:13:54,b'@idrriss *rosa voice* \n\naahHAH'
1239223193778470917,2020-03-15 16:13:27,b'@izlannizam and I can name them'
1239223058428243969,2020-03-15 16:12:55,b'@sugaryouknowme YES!!! perfect'
1239223020415320067,2020-03-15 16:12:46,b'@Broimjustvibin3 she said see ya l8r boi'
1239222892107366402,2020-03-15 16:12:15,"b""@ashleedell AAAANNNNND you know they're doing dance at a safe distance too"""
1239222791959990272,2020-03-15 16:11:51,b'@juliassgem YUP THERE YA HAVE IT'
1239222709931978754,2020-03-15 16:11:32,"b""@ririalex3 yup there you have it, that's the winner!!"""
1239222633629134848,2020-03-15 16:11:14,b'@Dipika_1dlover I vote: alll of #FineLine'
1239222585063284737,2020-03-15 16:11:02,b'@lytlmcxrolina ugh yes cute choice \xf0\x9f\x92\x95\xf0\x9f\x90\xa0'
1239222524325617664,2020-03-15 16:10:48,"b""@adoreycu AND THAT'S ON SOCIAL DISTANCING \xf0\x9f\x91\x8f"""
1239222471758426114,2020-03-15 16:10:35,b'@mattryanx this..... is the answer ^'
1239222421560983555,2020-03-15 16:10:23,"b""@dreamxboys omgg Sarah that's perfect yes \xf0\x9f\x92\x98"""
1239222371212333058,2020-03-15 16:10:11,b'@juliaftcara I 10000% was gonna say ITWWE!!'
1239222265948102657,2020-03-15 16:09:46,b'@ariispurpose QUEENS of our generation \xf0\x9f\x91\x91'
1239221131023917056,2020-03-15 16:05:15,"b'\xf0\x9f\x9a\xa8DUDE, COME HERE \xf0\x9f\x9a\xa8 bc @ADAMRAYOKAY and @MarleneDizzle met in real life!!! https://t.co/9Vk23Lm9vG'"
1239219807666548738,2020-03-15 16:00:00,b'What song are they ~social distance dancing~ to?\n\n\xf0\x9f\x8e\xb6\xf0\x9f\x90\x9b                        \xf0\x9f\x8e\xb6\xf0\x9f\x90\xa0'
1239211438100688896,2020-03-15 15:26:44,b'@JessMarieGarcia @TheSierraCapri @brettgray @diegotinoco @TheJasonGenao @OnMyBlock U guys are PRECIOUS \xf0\x9f\x92\x98\xf0\x9f\x92\x95'
1239211345679126529,2020-03-15 15:26:22,b'RT @JessMarieGarcia: thank you for everything @MTV \xf0\x9f\x92\x95 https://t.co/7RtQb8f4EB'
1239204710269280263,2020-03-15 15:00:00,"b'Currently on REPEAT: ""Y U Gotta B Like That"" by @audreymikarm!! \xf0\x9f\x98\x8d\xf0\x9f\x94\xa5 https://t.co/D2DHyATrlh'"
1239201753515556866,2020-03-15 14:48:15,b'* @donaldglover drops surprise album * \n\nThe internet: https://t.co/OwWoE8w1zW'
1239189610217058307,2020-03-15 14:00:00,"b""Sunshine + @Tinashe's discography = the best way to start the day! \xf0\x9f\x92\x95\xe2\x98\x80\xef\xb8\x8f https://t.co/8jg4R50laz"""
1239174510760333312,2020-03-15 13:00:00,"b"".@lauvsongs said he'd love some dance lessons from @BTS_twt, and tbh, so would I!! \xf0\x9f\x92\x9c https://t.co/haiXk3FOxJ"""
1238993314524749824,2020-03-15 01:00:00,b'I \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9d\x92\x94\xf0\x9d\x92\x89\xf0\x9d\x92\x9a \xf0\x9d\x92\x94\xf0\x9d\x92\x8e\xf0\x9d\x92\x8a\xf0\x9d\x92\x8d\xf0\x9d\x92\x86\xf0\x9d\x92\x94 from @Edwin_Honoret. https://t.co/L8VBTA1Mw0'
1238978216733200385,2020-03-15 00:00:00,"b""Here's why @billieeilish is a self-image QUEEN: \xf0\x9f\x92\x9a\xf0\x9f\x91\x91  https://t.co/pTWT0TbEZu"""
1238963117767274496,2020-03-14 23:00:00,b'I agree with @TaylerHolder... you DON NOT bite ice cream! \xf0\x9f\x99\x85\xf0\x9f\x8d\xa6 https://t.co/hU4U5w5Imu'
1238948017337585664,2020-03-14 22:00:00,b'Cleansing your TL with this wholesome pic of @HayleyKiyoko and @taylorswift13!! \xe2\x98\x80\xef\xb8\x8f https://t.co/6dMHM4ojys'
1238932916484206592,2020-03-14 21:00:00,"b'Kick your weekend off with our EPIC #EarWax playlist on @AppleMusic! \xf0\x9f\x8e\xb6\n\nListen here for new tracks from @LittleMix,\xe2\x80\xa6 https://t.co/Tbfkfa0Jcl'"
1238917817509920769,2020-03-14 20:00:00,"b'You know how the saying goes: when in doubt, DANCE IT OUT like @DojaCat! \xf0\x9f\x91\x8f\xe2\x9c\xa8 https://t.co/NvhOqrjQS2'"
1238902719055892481,2020-03-14 19:00:00,"b'Times are stressful, so let these TikToks help you take the edge off: https://t.co/tgy4PmfpMH'"
1238887618831503360,2020-03-14 18:00:00,b'Mood: @lifeofrickey only. https://t.co/0L2pQ7ap1p'
1238882126680010756,2020-03-14 17:38:10,b'@MissyElliott \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1238882074586742786,2020-03-14 17:37:58,b'RT @MissyElliott: God knows I am Forever GRATEFUL for all of you \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe so humbled\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe\xf0\x9f\xa4\x97'
1238872519559577601,2020-03-14 17:00:00,"b'When we all fall asleep, where do we go?'"
1238857421629591556,2020-03-14 16:00:00,"b'""I want to dedicate this award to the dance community, all around the world."" -@MissyElliott\n\nI\'ll never forget Mis\xe2\x80\xa6 https://t.co/Q5OCPBiUNv'"
1238842323506618368,2020-03-14 15:00:01,b'.@Normani and @theestallion and more of these badass ladies are MUST-HAVES on all your playlists! \xf0\x9f\x94\xa5 https://t.co/zCBN8ewHbn'
1238827223483699201,2020-03-14 14:00:01,"b""I've listened to this vid of @NiallOfficial singing harmonies to #HeartbreakWeather approx. 30491029387 times. https://t.co/FqmPe2d1HN"""
1238823758133108738,2020-03-14 13:46:14,"b'@NiallOfficial Niall please, I\xe2\x80\x99m BLUSHING.'"
1238812122848559104,2020-03-14 13:00:00,"b'I wanna thank @iamjojo for the song/video/JAM that is her new release, #Man: https://t.co/ktwUP10FUg'"
1238630927531749383,2020-03-14 01:00:00,b'Jumpstart your Friday night with our #EarWax playlist on @spotify: https://t.co/cUefC5ybgC \xf0\x9f\x91\x80\xf0\x9f\x94\xa5 https://t.co/Gams97Rpiq'
1238615827886346240,2020-03-14 00:00:00,"b'Me: ""I\'m gonna start eating healthy"" \nMy food cravings: \n\n\xf0\x9f\x93\xb8: @JessMarieGarcia https://t.co/H74XDEjVmy'"
1238600730698641409,2020-03-13 23:00:00,"b"".@NiallOfficial's video for #HeartbreakWeather will put some sunshine in your day! \xe2\x98\x80\xef\xb8\x8f\xe2\x98\x81\xef\xb8\x8f https://t.co/FuQPzc7sCG"""
1238585628419334150,2020-03-13 22:00:00,"b""Tag someone who looks as good as Oprah's bank account."""
1238571651173933058,2020-03-13 21:04:27,"b""If you're working from home, I hope you have a furry lil' assistant like @Lilly Singh does!! \xf0\x9f\x90\xb6\xf0\x9f\x92\x9e https://t.co/BI7vKKI5id"""
1238555430084845568,2020-03-13 20:00:00,b'Our March #MTVPush artist @liltecca gave us a stellar performance of his song #LoveMe! \xf0\x9f\x91\x8f\n\nHead to\xe2\x80\xa6 https://t.co/PFMfIH4HuF'
1238545397187883009,2020-03-13 19:20:08,"b""RT @MTVNEWS: There's been a lot of understandable panic about the #coronavirus, and a lot of misinformation. Can I leave my house? Will it\xe2\x80\xa6"""
1238540331051712512,2020-03-13 19:00:00,b'If you see this: TAKE A DEEP BREATH. \n\nTake the next minute of your day to do some self-meditation along with\xe2\x80\xa6 https://t.co/8MJou1tEyX'
1238537601818267648,2020-03-13 18:49:09,b'@moondownn hi love u too bb'
1238537407223521286,2020-03-13 18:48:23,b'@nowthisishappy ALWAYS!!! We stan a Jersey girl!!! \xf0\x9f\x92\x9e'
1238537208438685696,2020-03-13 18:47:36,"b""@briesfletcher I ~know~ I'll be streaming it forever and ever \xf0\x9f\x98\x89"""
1238537118655361024,2020-03-13 18:47:14,b'@claudeghanimeh she reallllly served us with these visuals!!!! \xf0\x9f\x91\x8f'
1238528900117991424,2020-03-13 18:14:35,b'I really\n     really\n      really\n    really\n  really\nreally\nreally\n really\ncan\xe2\x80\x99t get enough of \xe2\x80\x9cForever\xe2\x80\x9d by @findingfletcher. \xf0\x9f\x92\x9e'
