id,created_at,text
1238505683487580160,2020-03-13 16:42:19,b'RT @GameSpotDeals: Spring tech sale at eBay brings huge discounts on consoles and more https://t.co/ic5fjpdUYp https://t.co/xux6uy3CfO'
1238150259471044608,2020-03-12 17:10:00,b'Can\xe2\x80\x99t choose your favorite #StarTrek gadget? Why not try them all?'
1237874555391074305,2020-03-11 22:54:27,"b'RT @eBayNewsroom: .@Carscoop highlights a 1963 Porsche 365 B Carrera 2 GS Cabriolet, just one of many rare auto finds on eBay: https://t.co\xe2\x80\xa6'"
1237874508935004162,2020-03-11 22:54:16,"b""RT @androidcentral: Spring savings arrive early on phones, PCs, and more during eBay's Best Ever Spring Sale https://t.co/9IiKDYjkMt"""
1237479590265786370,2020-03-10 20:45:00,"b'Introducing the most expensive watches ever sold on eBay. With over 150,000 luxury watch listings, find your own investment timepiece.'"
1237178606998020096,2020-03-10 00:49:00,"b'Get into the swing of spring with eBay\xe2\x80\x99s \xe2\x80\x9cBest Ever Spring Sale.\xe2\x80\x9d Now til March 22, get incredible savings on fashi\xe2\x80\xa6 https://t.co/yWgvo5xHVy'"
1237043222372737029,2020-03-09 15:51:02,"b'RT @UzoAduba: Want to hang with me in NYC?! In honor of #InternationalWomensDay, @Heifer &amp; @Ebay are auctioning an afternoon with me in NYC\xe2\x80\xa6'"
1236707502768689154,2020-03-08 17:37:00,"b'\xe2\x80\x9cBe flexible in your approach but unwavering in what your goal is\xe2\x80\x9d  - Lauren White, White Loft. \n\nGet this powerful\xe2\x80\xa6 https://t.co/DnyI19WySz'"
1236382887999496192,2020-03-07 20:07:06,b'An ultra-rare 1993 Black Lotus alpha in near-mint condition? Your #MagicTheGathering game will never be the same\xe2\x80\xa6. \xf0\x9f\xa4\x91'
1236025181673385984,2020-03-06 20:25:42,"b'RT @Heifer: #InternationalWomensDay is March 8, and we are working with @eBay and @UzoAduba to empower women around the world!\n\nShop #eBay4\xe2\x80\xa6'"
1235981643896082433,2020-03-06 17:32:41,"b'***UPDATE***  Special pricing has sold out, but stay tuned for more drops on must-have sneakers. https://t.co/PpswoNxTGl'"
1235973919372275713,2020-03-06 17:02:00,b'\xe2\x9a\xa1\xef\xb8\x8f Sneaker Flash Sale \xe2\x9a\xa1\xef\xb8\x8f #YeezyBoost 700 V2 Geode sneakers for $199 (HUGE price drop). Cop a pair while quantities last.'
1235582087580790788,2020-03-05 15:05:00,"b'A fine time for a fine timepiece\xe2\x80\xa6 Today, from 7am PT \xe2\x80\x93 1pm PT only, enjoy an additional 10% off that luxury watch you\xe2\x80\x99ve been eyeing. \xf0\x9f\x91\x80'"
1235236057051877376,2020-03-04 16:10:00,b'On the hunt for a pair of adidas #YeezyBoost 700 Inertia? Get them now for $275 (that\xe2\x80\x99s less than retail) plus free\xe2\x80\xa6 https://t.co/OOlHjnfUe7'
1234965776190275584,2020-03-03 22:16:00,b'The ultimate find for any collector? Our money is on the  world\xe2\x80\x99s smallest coin. Only 999 were made and each one be\xe2\x80\xa6 https://t.co/gRVipsHq53'
1234240245463384074,2020-03-01 22:13:00,"b""So here's the plan... Find all the #StarWars patent schematics you could possibly need to take down The Dark Side."""
1233942785335709700,2020-03-01 02:31:00,b'What\xe2\x80\x99s better than stealing second? Tearing into the Topps 2020 Baseball Series One box. \xe2\x9a\xbe'
1233571086060515329,2020-02-29 01:54:00,b'Rocky found his rhythm bringing music to his community and music-lovers around the world. Shop sellers like Rocky a\xe2\x80\xa6 https://t.co/5QlThCrf39'
1233159373356195840,2020-02-27 22:38:00,"b'Hey trainers, we\xe2\x80\x99re celebrating #PokemonDay! Which Pok\xc3\xa9mon will you battle for? Sound off in the comments below.'"
1232755837824716800,2020-02-26 19:54:29,"b'RT @McDonalds: Celebrate 50 years of #ShamrockShakeSZN with an 18K gold, diamond and emerald tribute: the Golden Shamrock Shake. Bid NOW an\xe2\x80\xa6'"
1232434597394124801,2020-02-25 22:38:00,"b'Could this be the most buzzed-about sweater ever? Don\xe2\x80\x99t miss your chance to own some @ChrisEvans-worn, chunky knit goodness. #KnivesOut'"
1232071706384240642,2020-02-24 22:36:00,b'Full price? Forget it. Score up to 50% off adidas sneakers and more right now.'
1232001070122946560,2020-02-24 17:55:19,b'RT @eBay4CharityUS: LET THE GAMES BEGIN! Here\xe2\x80\x99s your chance to get the NFL star and @HyperX ambassador @TeamJuJucustom gaming headset. All\xe2\x80\xa6'
1231990490725109760,2020-02-24 17:13:16,b'RT @TeamJuJu: Get yours: https://t.co/d8nvrQsRLq'
1231990477341089792,2020-02-24 17:13:13,"b'RT @TeamJuJu: So excited about this! @HyperX and I teamed up to make a limited Cloud MIX, JuJu Edition. There are only 19 of these in the w\xe2\x80\xa6'"
1231291565739532289,2020-02-22 18:56:00,"b'Fun fact: #NationalWildlifeDay is also Steve Irwin\xe2\x80\x99s birthday! To celebrate everyone\xe2\x80\x99s favorite conservationist, we\xe2\x80\xa6 https://t.co/Qw1VZxftHx'"
1230901244551716871,2020-02-21 17:05:00,"b'\xf0\x9f\x9a\xa8PRICE DROP\xf0\x9f\x9a\xa8 Get a pair of adidas #YeezyBoost 700 Inertia for $250, plus free shipping. That\xe2\x80\x99s $50 off retail. Ends Thursday at 8:59am PT.'"
1230530551616069633,2020-02-20 16:32:00,"b'""You can use logic to justify almost anything\xe2\x80\xa6\xe2\x80\x9d including a Bluetooth enabled, highly-accurate replica of the O.G.\xe2\x80\xa6 https://t.co/0JekI2VlfB'"
1230166150237032451,2020-02-19 16:24:00,"b'#Cartier everyday. There\xe2\x80\x99s never a bad time for rare, vintage and breathtaking.'"
1229911476585938945,2020-02-18 23:32:01,b'RT @eBayNewsroom: The @eBay community raised more than $112 million for charity organizations around the world in 2019: https://t.co/LlAeQ4\xe2\x80\xa6'
1229822262112423936,2020-02-18 17:37:30,b'Be on the lookout for something exciting. \xf0\x9f\x91\x80 https://t.co/Loy8MmGiFD'
1229442129572900866,2020-02-17 16:27:00,"b'\xf0\x9f\x9a\xa8Last chance alert \xf0\x9f\x9a\xa8#PresidentsDay deals on tech, fashion, fan gear and more end tomorrow!'"
1229092828074139648,2020-02-16 17:19:00,"b'It may be #NBAAllStar time but it\xe2\x80\x99s all about the sneaker game. While #TeamLebron takes on #TeamGiannis, peep our l\xe2\x80\xa6 https://t.co/P8Zx3qDSwB'"
1228746797692129281,2020-02-15 18:24:00,"b'Start the parade because the #PresidentsDay deals have arrived. Get free shipping and the best prices, guaranteed.'"
1228412092534923266,2020-02-14 20:14:00,b'Happy V-day from eBay! https://t.co/L31BAXkrqS'
1228082168355622913,2020-02-13 22:23:00,"b'From Next Generation to #StarTrek:Picard, the captain is a role model at any vintage.'"
1227635475076263936,2020-02-12 16:48:00,b'These aren\xe2\x80\x99t your toddler\xe2\x80\x99s #LEGOs. Unleash your inner #Brickmaster with a set to remember.'
1227401684264996865,2020-02-12 01:19:00,b'Grab the Drink Cup shoes off the not-so-secret menu. #eBay is taking orders.\xf0\x9f\x8d\x94\xf0\x9f\x8d\x9f\xf0\x9f\xa4\xa4'
1227386432295034880,2020-02-12 00:18:23,b'RT @eBayNewsroom: How do you define empowerment? We asked small business owners who sell online what was most important to them and found t\xe2\x80\xa6'
1227060410517340162,2020-02-11 02:42:54,b'The answer is.... \xf0\x9f\xa5\x81 #OnceUponATimeInHollywood. Did you guess right??'
1226999786139553792,2020-02-10 22:42:00,b'Find a little something sublime. \xf0\x9f\x91\x9c'
