id,created_at,text
1235434894328770560,2020-03-05 05:20:06,"b'The man accused of being the Golden State Killer has offered to plead guilty in exchange for a life sentence, court\xe2\x80\xa6 https://t.co/ZHDutQMNSp'"
1235430111194664960,2020-03-05 05:01:06,"b'A New Hampshire man with flu-like symptoms was asked to avoid contact with other people. Instead, he went to a part\xe2\x80\xa6 https://t.co/CQRdsMIa7t'"
1235424813956485126,2020-03-05 04:40:03,b'The top 2 leaders at United Airlines announced plans to cut international service in April by about 20% and domesti\xe2\x80\xa6 https://t.co/vXlYAj412H'
1235419777713295367,2020-03-05 04:20:02,b'The former U.N. secretary general Javier P\xc3\xa9rez de Cu\xc3\xa9llar has died at 100 https://t.co/DctQDKopal'
1235417258823835648,2020-03-05 04:10:02,"b'RT @mattfleg: ""Not sure what you say,"" Bloomberg began.\n\nThis made sense.\n\nOn Weds, the billionaire met something he\'s not used to (large-s\xe2\x80\xa6'"
1235414749577347073,2020-03-05 04:00:03,"b'President Trump tapped a former chemical industry executive to lead the Consumer Product Safety Commission, an inde\xe2\x80\xa6 https://t.co/esCh1TWBTj'"
1235410456182951938,2020-03-05 03:43:00,b'Read updates in Chinese: \xe6\x96\xb0\xe5\x86\xa0\xe7\x97\x85\xe6\xaf\x92\xe7\x96\xab\xe6\x83\x85\xe6\x9c\x80\xe6\x96\xb0\xe6\xb6\x88\xe6\x81\xaf\nhttps://t.co/UU9tEMDUsS'
1235409728697585665,2020-03-05 03:40:06,b'\xe2\x80\x94A cruise ship bound for California is believed linked to the first U.S. coronavirus death outside Washington State\xe2\x80\xa6 https://t.co/t2N2ArdNSP'
1235407223628709889,2020-03-05 03:30:09,b'Dr. Bruce Aylward of the World Health Organization got a rare glimpse into Beijing\xe2\x80\x99s campaign to stop the coronavir\xe2\x80\xa6 https://t.co/zJUp4E3HVp'
1235404682010468352,2020-03-05 03:20:03,b'RT @luisferre: There were 6 confirmed coronavirus cases in New York this morning. \n\nThat almost doubled to 11 cases by this afternoon. \n\nHe\xe2\x80\xa6'
1235399655459975168,2020-03-05 03:00:05,b'Researchers confirmed that human-caused climate change had an impact on Australia\xe2\x80\x99s recent devastating wildfires https://t.co/YPdpGmNQUA'
1235394623754964992,2020-03-05 02:40:05,"b""Here's the 2020 presidential election calendar\nhttps://t.co/YWmQMoZYgw"""
1235389588228669440,2020-03-05 02:20:04,"b""RT @ckoettl: One way to see the impact of the #coronavirus? Through satellite imagery. Here's what I found. #COVID19 https://t.co/1mH2RYpVE\xe2\x80\xa6"""
1235384580728733697,2020-03-05 02:00:11,b'European officials met with Greta Thunberg hoping to win her support for their proposed climate law. But she told t\xe2\x80\xa6 https://t.co/5bhLFanEDh'
1235380083956699136,2020-03-05 01:42:18,"b'Sign up to get our daily briefing by email: https://t.co/Excif1tKCW\n\nEvery weekday, we\xe2\x80\x99ll fill you in on the most i\xe2\x80\xa6 https://t.co/kLbt3BjgBa'"
1235379511711195137,2020-03-05 01:40:02,"b'Coronavirus Daily Briefing: Schools were closed in Italy, and more cases cropped up in New York https://t.co/LK7egEPRbg'"
1235374480542904320,2020-03-05 01:20:02,"b'RT @coopnytimes: The coronavirus has taken a big toll on the arts world in terms of closed venues and canceled events, but has also spurred\xe2\x80\xa6'"
1235369479263211522,2020-03-05 01:00:10,"b""Evening Briefing: Here's what you need to know at the end of the day https://t.co/YcEzQXjBgJ"""
1235364437227433984,2020-03-05 00:40:08,b'A high school student took an anti-Semitic picture on a school trip and texted it to classmates at their New Jersey\xe2\x80\xa6 https://t.co/bBbR0n1Pjf'
1235359393920712704,2020-03-05 00:20:06,"b'RT @smervosh: - 1st death from coronavirus reported in California \n- Los Angeles Co. declares state of emergency, with 6 new cases \n- Total\xe2\x80\xa6'"
1235357705222713344,2020-03-05 00:13:23,b'@curtwoodward Intentionally targeting local news organizations in search is not and has not been part of our market\xe2\x80\xa6 https://t.co/y41fQ4D1vF'
1235354403881836546,2020-03-05 00:00:16,"b""From J. Kenji L\xc3\xb3pez-Alt, here's how to make vegan chili https://t.co/jS4NLSb3Lv"""
1235349324088987648,2020-03-04 23:40:05,"b'""Thank you for being my friend, John.""\n\n2 American men have stayed in touch, texting back and forth and making new\xe2\x80\xa6 https://t.co/LDgdDYQkuT'"
1235344308250824704,2020-03-04 23:20:09,"b'RT @ShaneGoldmacher: New w/ @AsteadWesley: After mounting losses, Elizabeth Warren goes dark as she reassess.\n\nDelegate count bleak in CA.\xe2\x80\xa6'"
1235341776795422720,2020-03-04 23:10:05,b'NBCUniversal has sold $1.25 billion in ads for the Olympics in Tokyo this summer. If the media giant is anxious abo\xe2\x80\xa6 https://t.co/aSum7ePsP3'
1235339282279272449,2020-03-04 23:00:11,"b'In a rare rebuke, Chief Justice John Roberts condemned remarks by Senator Chuck Schumer attacking President Trump\xe2\x80\x99s\xe2\x80\xa6 https://t.co/9P3TTsWY7R'"
1235335782623215617,2020-03-04 22:46:16,"b'The House approved $8.3 billion in emergency aid to combat the coronavirus. The bipartisan package, which includes\xe2\x80\xa6 https://t.co/dssmkDhcpi'"
1235334236879671297,2020-03-04 22:40:08,"b'Joe Biden won the Texas Democratic primary, his most significant win of the 2020 primary season, with support from\xe2\x80\xa6 https://t.co/PwRkJoGHz6'"
1235331403300196352,2020-03-04 22:28:52,"b'RT @jmartNYT: Perhaps the biggest non-presidential moment of the 2020 cycle is upon is. \n\nAnd after months of saying he would not run, @Gov\xe2\x80\xa6'"
1235329186555990018,2020-03-04 22:20:04,"b'""This was a solid night for Bernie Sanders."" Politics reporter @AlexBurnsNYT explains why, even though Joe Biden wo\xe2\x80\xa6 https://t.co/3aCVZisFq1'"
1235326673513480204,2020-03-04 22:10:04,"b'Volodymyr Zelensky, Ukraine\xe2\x80\x99s president, fired his cabinet on Wednesday after suggesting that they had become overl\xe2\x80\xa6 https://t.co/2ff6QPtpuJ'"
1235324166863282176,2020-03-04 22:00:07,"b'People are rewatching the star-studded 2011 thriller ""Contagion"" as the coronavirus outbreak continues. ""It felt li\xe2\x80\xa6 https://t.co/Ymt3Ei22q9'"
1235321635416264705,2020-03-04 21:50:03,"b'Bernie Sanders delivered a striking assessment of his campaign on Wednesday, saying he was \xe2\x80\x9cdisappointed\xe2\x80\x9d with the\xe2\x80\xa6 https://t.co/iM30ZTiGqO'"
1235319134294093827,2020-03-04 21:40:07,b'The Taliban have resumed attacks against Afghan forces soon after\xc2\xa0signing a deal to end their war with the U.S. mil\xe2\x80\xa6 https://t.co/ZG5NkTv33B'
1235316624342818816,2020-03-04 21:30:08,"b""Gov. Steve Bullock of Montana is poised to run for Senate after months of insisting he wouldn't, according to 3 Dem\xe2\x80\xa6 https://t.co/Oxw3urseLZ"""
1235316020446978051,2020-03-04 21:27:44,"b'RT @NYTSports: Five years after a bad crash left him unable to play, Josh Speidel finally got his shot. He did not miss.\xc2\xa0 https://t.co/wUW0\xe2\x80\xa6'"
1235314397297418241,2020-03-04 21:21:18,"b'Breaking News: The S&amp;P 500 rose more than 4 percent, bouncing back after a steep drop as investors reacted to Joe B\xe2\x80\xa6 https://t.co/EGBVZ5KWNO'"
1235314090496716800,2020-03-04 21:20:04,"b""President Trump responded to criticism over his administration's response to the coronavirus by pointing to testing\xe2\x80\xa6 https://t.co/2RwSCA3DBv"""
1235312087536144386,2020-03-04 21:12:07,"b'Joe Biden clinched the Maine primary, edging out Bernie Sanders for his 10th Super Tuesday win\nhttps://t.co/bnkOdpbj8J'"
1235309082598412290,2020-03-04 21:00:10,b'The U.S. Supreme Court began hearing arguments today in a major abortion case that could leave the state of Louisia\xe2\x80\xa6 https://t.co/j81bwDynnO'
1235306531203186688,2020-03-04 20:50:02,"b'Simon &amp; Schuster, the publishing powerhouse behind best-selling authors like Stephen King, Ursula K. Le Guin and Ju\xe2\x80\xa6 https://t.co/gJ94YFHPa4'"
1235304031125417987,2020-03-04 20:40:06,"b'Last month, President Trump named Richard Grenell the acting director of national intelligence for the U.S.\n\nGrenel\xe2\x80\xa6 https://t.co/WHBzKStwqk'"
1235303766104199168,2020-03-04 20:39:03,"b'@curtwoodward Thanks. You raised an important point. Our marketing team buys against key words such as ""news subscr\xe2\x80\xa6 https://t.co/1NXy78nOWN'"
