id,created_at,text
1239323007685996546,2020-03-15 22:50:05,"b'2 emergency medicine doctors, one in New Jersey and the other in Washington State, are in critical condition as a r\xe2\x80\xa6 https://t.co/ZfROAo3ZVm'"
1239320491640401920,2020-03-15 22:40:05,"b'In tonight\xe2\x80\x99s Democratic debate, Joe Biden and Bernie Sanders will be auditioning for the presidency, trying to conv\xe2\x80\xa6 https://t.co/NuHqHFRh9w'"
1239315454809837572,2020-03-15 22:20:04,"b'Puerto Rico on Sunday imposed a 9 p.m. overnight curfew and ordered most businesses shut down through March 30, one\xe2\x80\xa6 https://t.co/0DFIedXGMi'"
1239312733096509440,2020-03-15 22:09:15,b'RT @jeannasmialek: March 15 is going to go down as a big moment in Fed history. https://t.co/h4TX5jlOnp'
1239310480197529600,2020-03-15 22:00:18,"b'Heretofore known as the luminous frontwoman of the blues-rock band Alabama Shakes, Brittany Howard has been lionize\xe2\x80\xa6 https://t.co/7Ifnm5I0Ii'"
1239306668305002499,2020-03-15 21:45:09,b'RT @Max_Fisher: Covid19 bearing out the warnings: inequality is a major threat to public health for everyone\n\nInequality makes epidemics sp\xe2\x80\xa6'
1239305406935109639,2020-03-15 21:40:08,b'The Department of Veterans Affairs is legally designated as the backup health system in the U.S. It is preparing to\xe2\x80\xa6 https://t.co/fJLIhUwCbX'
1239302377267703808,2020-03-15 21:28:06,b'RT @elizashapiro: All public schools on Long Island and in Westchester will also close in the next few days. \nThis is by far the most wide-\xe2\x80\xa6'
1239301626038554624,2020-03-15 21:25:07,b'RT @NYTStyles: Got a little free indoor time this weekend? Bust out the needle and thread maybe. https://t.co/0pzHNxkTZs'
1239300139577196547,2020-03-15 21:19:13,"b'Breaking News: All public schools in New York City, Long Island and Westchester will shut down, Gov. Andrew Cuomo s\xe2\x80\xa6 https://t.co/t612QMxIR9'"
1239296575211528193,2020-03-15 21:05:03,"b""RT @AsteadWesley: New: I asked progressive leaders what they're looking to see from Bernie Sanders tonight. \nhttps://t.co/GJJzoWftEp"""
1239296480923602945,2020-03-15 21:04:40,b'Breaking News: The U.S. Federal Reserve slashed interest rates to near zero and said it would buy government debt t\xe2\x80\xa6 https://t.co/copO3wXkVS'
1239295327104090112,2020-03-15 21:00:05,b'Treasury Secretary Steven Mnuchin said that he would ask Congress to reinstate powers that were scaled back by the\xe2\x80\xa6 https://t.co/nXRFvb4bXm'
1239291542445215747,2020-03-15 20:45:03,"b""RT @patrickhealynyt: New York officials are discussing moving the state's April 28 presidential primary to June 23, per @stefsaul &amp; @NYTnic\xe2\x80\xa6"""
1239290277296300035,2020-03-15 20:40:01,"b""How to hold a Democratic debate in the age of social distancing:\n\xe2\x80\x94The candidates\xe2\x80\x99 lecterns at tonight's debate will\xe2\x80\xa6 https://t.co/NUcX53SQXh"""
