id,created_at,text
1235340126567485442,2020-03-04 23:03:32,"b""It won't take finding a four-leaf clover to feel lucky doing these festive St. Patrick's Day crafts for kids.\xe2\x80\xa6 https://t.co/IZdjnhBOe8"""
1232780129190977536,2020-02-26 21:31:01,b'The Best Organic and Natural Skin Care Products for Pregnant or Nursing Moms\nhttps://t.co/jRQ670ntg5 https://t.co/eN9yQyRt8y'
1232695882744827905,2020-02-26 15:56:15,b'These 18 Figure Flattering Swimsuits Will Have You Feeling Like Your Pre-Baby Self https://t.co/7rt5mPgDSR https://t.co/U68xQ4Y2HE'
1232391825102712833,2020-02-25 19:48:02,b'Serena Williams Likes to Celebrate Her \xe2\x80\x98Wild Child\xe2\x80\x99 in the Most Adorable Way\nhttps://t.co/VnBuI1J3WK https://t.co/2H1oNmUArY'
1232333969275920384,2020-02-25 15:58:08,b'Moms Are Raving About the Tummy Control \xe2\x80\x98Magic Fabric\xe2\x80\x99 in These $20 Leggings on Amazon\nhttps://t.co/7Eiq4SYy7N https://t.co/sBGzLxCBEV'
1232326965182504961,2020-02-25 15:30:18,b'The Best Stain Removers for Every Mess Your Family Throws At You\nhttps://t.co/0e9LtKLcvN https://t.co/6hDQhmYXpk'
1232319679491907585,2020-02-25 15:01:21,b'The 12 Best Plane Toys for Entertaining Wiggly Toddlers\nhttps://t.co/jLcXSqNGHs https://t.co/3xdUxOmCLy'
1227285679425695745,2020-02-11 17:38:02,b'The Best Essential Oil Diffusers for a More Zen Home:\nhttps://t.co/tNo4lL83FE https://t.co/gRb7Py8WjC'
1226827692005371904,2020-02-10 11:18:09,"b""We don't want to get too cheesy, but there is still so much to love even after National Pizza Day about these super\xe2\x80\xa6 https://t.co/7420uNNr86"""
1225527626221178880,2020-02-06 21:12:09,b'Queer Eye\xe2\x80\x99s Fashion Expert Tan France Breaks Down How to Find the Right Eyewear for Your Face @netflix @QueerEye\xe2\x80\xa6 https://t.co/f2W3A8JjpC'
1225520430922059778,2020-02-06 20:43:34,b'Disney+ Is Offering Gift Subscription Cards for Valentine\xe2\x80\x99s Day \xe2\x80\x94 Here\xe2\x80\x99s How to Get One\nhttps://t.co/PMQcqkzixs https://t.co/oU9qPssZpf'
1225173528992997378,2020-02-05 21:45:06,b'The newest @Barbie Fashionistas Doll keeps selling out \xe2\x80\x94 but we tracked it down!\nhttps://t.co/jbMb0HoBFo https://t.co/bkofYKkD0t'
1224450923520385025,2020-02-03 21:53:44,"b""Check out our roundup of the best children's books to celebrate Black History Month! \nhttps://t.co/x8jpbyPf96 https://t.co/4PZ23kj3ey"""
1223396771495280643,2020-02-01 00:04:54,"b""We've rounded up the cutest sporting gear to outfit your babe along with all of the best accessories to get them in\xe2\x80\xa6 https://t.co/l32FNB0PgW"""
1223382739015143424,2020-01-31 23:09:08,"b'@SaintJaneBeauty founder Casey Georgeson spoke with https://t.co/jtCisgkczX about the importance of clean, organic\xe2\x80\xa6 https://t.co/hDHJ5OIn4y'"
1222996786631127046,2020-01-30 21:35:30,"b""Check out these loveable, little Valentine's Day pieces your playful cutie will adore and want to wear long after t\xe2\x80\xa6 https://t.co/DvhN3v75T4"""
1222995368058793992,2020-01-30 21:29:52,b'Style your little sweetheart in something fun and festive this Feb. 14. Click through our list of picks from favori\xe2\x80\xa6 https://t.co/3EkjybM26E'
1222648800067584001,2020-01-29 22:32:44,"b""We've rounded up the best flower delivery services guaranteed to ship the prettiest Valentine's Day picks to your s\xe2\x80\xa6 https://t.co/PRRLncfElD"""
1222648270381572096,2020-01-29 22:30:38,"b""We've rounded up a few lovely little Valentine's Day finds for Mom from fragrances to jewelry and more to let her k\xe2\x80\xa6 https://t.co/jgb1li90fJ"""
1222647802951622657,2020-01-29 22:28:46,"b""Check out our roundup of super cute Valentine's Day books for kids that you'll want to add to your reading collecti\xe2\x80\xa6 https://t.co/WZ1oS6IJn1"""
1219685947304038400,2020-01-21 18:19:25,"b""We've rounded up a little something special for the kids to celebrate Valentine's Day with a few fun gift ideas gua\xe2\x80\xa6 https://t.co/khXIqKBUBp"""
1219685481996267521,2020-01-21 18:17:34,b'Check out our favorite picks from Target\xe2\x80\x99s affordable new All in Motion activewear collection made to get the famil\xe2\x80\xa6 https://t.co/KHGsczlENT'
1219076923403444224,2020-01-20 01:59:22,b'Top 10 Anti-Aging Creams: https://t.co/SMiPc2sweZ https://t.co/fO1AxLwscu'
1218292403402104832,2020-01-17 22:01:58,"b""14 Sweet Valentine's Day Ideas for Men\nhttps://t.co/S8GSGNBuOn https://t.co/HVSFoUWMlq"""
1216859128389361666,2020-01-13 23:06:39,"b""We've pieced together the perfect puzzles in celebration of National Puzzle Month to make this popular educational\xe2\x80\xa6 https://t.co/1KIHnl6dgZ"""
1216858699492397056,2020-01-13 23:04:56,"b""We've rounded up a few lucky finds to celebrate the Year of the Rat in style!\nhttps://t.co/UnX37YdcbZ https://t.co/BpVcGtQ8wK"""
1216779000137310209,2020-01-13 17:48:14,b'Why the New Apple iPhone 11 is a Parent\xe2\x80\x99s Dream!\nhttps://t.co/69XayUJtGq https://t.co/fFw4oEpHhY'
1216743666968035330,2020-01-13 15:27:50,b'These Snowsuits Will Keep Your Little One Warm And Cozy This Winter https://t.co/Cxq8yIwhVh https://t.co/hbvitaNjpN'
1216743187445960705,2020-01-13 15:25:56,"b'Over 2,200 Amazon Shoppers Think You Need These Flattering Denim Leggings That Actually Have Pockets\xe2\x80\xa6 https://t.co/tBnLqUKzcz'"
1215815794145267714,2020-01-11 02:00:48,b'The Best 11 Cases for Nintendo Switch: https://t.co/OZ6v2gueHi https://t.co/c78iMpPapB'
1215766215169400838,2020-01-10 22:43:48,"b""Take advantage of super savings on must-haves for your babe during BuyBuy Baby's Big Deal Baby Sale!\xe2\x80\xa6 https://t.co/IFs0gxhO5C"""
1215764754180005889,2020-01-10 22:37:59,"b""We've rounded up the latest launches in athletic gear landing in stores now to keep your kid looking good and feeli\xe2\x80\xa6 https://t.co/ZyqxpbjZps"""
1215426884349124609,2020-01-10 00:15:25,b'Check out this magical 16-piece Disney Princess Dinnerware set from Target: https://t.co/bg1jofSU1j https://t.co/NHYIOIBEl8'
1215387818761105409,2020-01-09 21:40:11,b'These are the best multivitamins for every member of your family. https://t.co/qGO6Luniho https://t.co/EItX6zfqdY'
1214976476094836736,2020-01-08 18:25:39,b'Super Cool Winter Gear Guaranteed To Keep Your Kid Warm Outdoors https://t.co/byggobqieL https://t.co/kowA7JsHtj'
1214976252043517953,2020-01-08 18:24:46,b'Celebrate National Winnie The Pooh Day With These Playful Picks! https://t.co/uGRnvK0ILG https://t.co/gK79F1dnb1'
1214625692018720770,2020-01-07 19:11:46,b'10 Maternity Workout Essentials to Keep You Moving\nhttps://t.co/D5tUprGfYU https://t.co/zsmzCyOpuj'
1212761087139024899,2020-01-02 15:42:29,b'This Thermometer Can Switch From Forehead To Ear Mode &amp; Is Currently Over 70% Off On Amazon\nhttps://t.co/abJrnX4VZC https://t.co/NFFiKLO9Ww'
1210299404944629766,2019-12-26 20:40:39,"b""Put those gift cards to good use and start shopping Amazon's amazing Year-End Deals!\nhttps://t.co/D6eFHzt8bf https://t.co/am7VoFvYy1"""
1210299057870135298,2019-12-26 20:39:16,b'Ring in 2020 with Your Baby New Year in These Fun Finds! \nhttps://t.co/4U6tkwlvhy https://t.co/aYsBAUmdwA'
1208126450865455111,2019-12-20 20:46:06,b'Check out these fun family-themed ideas for you and yours to enjoy the holidays together!\nhttps://t.co/fJoeti74UN https://t.co/UJ9ZPacRCU'
1207768529803644937,2019-12-19 21:03:51,b'We\xe2\x80\x99ve rounded up a few fab gift ideas for mom guaranteed to put a smile on her face.\nhttps://t.co/OnoM66bIsA https://t.co/1wKVi8Pn28'
1207767525364252674,2019-12-19 20:59:51,b'All we want for Christmas are these adorable @MariahCarey kids\xe2\x80\x99 holiday onesies! \nhttps://t.co/RHBbTZH8Ji https://t.co/JW4EQM5yiB'
1207765688905076737,2019-12-19 20:52:34,"b""We've rounded up the best classic toys for boys and girls that only seem to get better with time.\xe2\x80\xa6 https://t.co/iq4cWfULtO"""
1207706277167718407,2019-12-19 16:56:29,b'We Found the 20 Best Last-Minute Gifts on Amazon\xe2\x80\x94and They\xe2\x80\x99re All Under $50\nhttps://t.co/Ac5VtMxQfH https://t.co/crtpcs2CC5'
1205867608836325378,2019-12-14 15:10:16,b'Amazon Has a Whole Section of Disney Christmas Gifts You\xe2\x80\x99ll Love https://t.co/QQTiag3x7r https://t.co/hVnWdrVb3x'
1205622001815228416,2019-12-13 22:54:19,"b""Last-minute holiday shoppers can still snag super sale prices on these fab toy finds during @amazon's 12 Days of De\xe2\x80\xa6 https://t.co/CovTaU3o44"""
1205212645038710784,2019-12-12 19:47:41,b'Shop Exclusive Sephora Holiday Gift Sets For Your Beauty-Obsessed Friends and Family\nhttps://t.co/MpBwhtyTem https://t.co/581oZf3QZb'
1205134122043269120,2019-12-12 14:35:39,b'7 Bags We\xe2\x80\x99re Obsessed With From Coach\xe2\x80\x99s Insane 50% Off Holiday Sale https://t.co/KdIzOZnvn4 https://t.co/EGj2GIjntu'
1204858170948108289,2019-12-11 20:19:07,"b""Kids can create picture-perfect designs featuring their favorite Frozen 2 characters with Crayola's cool new art co\xe2\x80\xa6 https://t.co/USPDTWb7O6"""
1204852124963811329,2019-12-11 19:55:06,"b""Check out the new JuJuBe x Harry Potter collection destined to land at the top of your favorite Potterhead's wizard\xe2\x80\xa6 https://t.co/1HZJGIFO1Z"""
1204771702024081408,2019-12-11 14:35:31,b'We love these 8 adorable dollhouses for less than $50! https://t.co/B5Lrog6hKN https://t.co/6ZOYkaKkIj'
1204184205531471873,2019-12-09 23:41:01,"b""There's still time to shop super sales and take advantage of Walmart's great Green Monday deals on gaming consoles\xe2\x80\xa6 https://t.co/RGyX2BJN8r"""
1204094039638851584,2019-12-09 17:42:44,b'Walmart Is Currently Offering Up To 50% Off Toys For Green Monday https://t.co/Az7rwUADdx https://t.co/EBVUSJTQ8O'
1202338932236718080,2019-12-04 21:28:34,"b""Who wouldn't want to rock around the Christmas tree in these fun, festive jammies?\nhttps://t.co/tLs9NV4VpX https://t.co/w9ZzWgFYcc"""
1201631304904855552,2019-12-02 22:36:42,"b""There's still time on the clock to grab a great PS4 Cyber Monday Deal before it's too late! \nhttps://t.co/dbJCwJBR65 https://t.co/oyCwqTVpXL"""
1201630578770096128,2019-12-02 22:33:49,"b""Shop Amazon's Cyber Monday sale to stock up on cold-weather essentials to keep your cutie warm all winter!\xe2\x80\xa6 https://t.co/QsE8PeTMbT"""
1201577583239929861,2019-12-02 19:03:14,b'8 Dyson Cyber Monday Deals That Will Save You Hundreds \xe2\x80\x94 Including a Rare Deal on Its Cult-Favorite Hair Dryer\xe2\x80\xa6 https://t.co/G8L9Wa6Qq7'
1201565772566454275,2019-12-02 18:16:18,b'Shop These Amazing Beauty Buys from Ulta\xe2\x80\x99s (@ultabeauty)  Super Cyber Monday Sale!\nhttps://t.co/WyUMxyMKJR https://t.co/iEU98RlRAq'
1201553203977998336,2019-12-02 17:26:22,b'Don\xe2\x80\x99t Miss the Disney+ (@disneyplus) Cyber Monday Deal Happening Today https://t.co/T6yaEv9RC2 https://t.co/NcqTrazSW0'
